Time : 08-28-15-18-44.0 //TaskState : Task1//User1 Position(4.84, 0.00, 3.15)/User2 Position(1.94, 0.00, 3.65)/User3 Position(4.18, 1.66, 4.37)/
Time : 08-28-15-18-44.2 //TaskState : Task1//User1 Position(2.26, 1.36, 1.23)/User2 Position(1.94, 0.00, 3.65)/User3 Position(4.18, 1.66, 4.36)/
Time : 08-28-15-18-44.3 //TaskState : Task1//User1 Position(3.31, 1.00, 3.63)/User2 Position(4.52, 0.81, 3.46)/User3 Position(4.18, 1.66, 4.36)/
Time : 08-28-15-18-44.6 //TaskState : Task1//User1 Position(3.30, 1.00, 3.66)/User2 Position(4.55, 0.79, 3.40)/User3 Position(4.18, 1.66, 4.36)/
Time : 08-28-15-18-44.7 //TaskState : Task1//User1 Position(3.32, 1.01, 3.70)/User2 Position(4.54, 0.79, 3.36)/User3 Position(4.18, 1.66, 4.36)/
Time : 08-28-15-18-45.3 //TaskState : Task1//User1 Position(3.33, 1.01, 3.71)/User2 Position(4.53, 0.80, 3.37)/User3 Position(4.18, 1.66, 4.36)/
Time : 08-28-15-18-45.4 //TaskState : Task1//User1 Position(3.50, 0.91, 3.90)/User2 Position(4.40, 0.95, 3.64)/User3 Position(4.17, 1.65, 4.36)/
Time : 08-28-15-18-45.5 //TaskState : Task1//User1 Position(3.51, 0.87, 3.94)/User2 Position(4.41, 0.96, 3.67)/User3 Position(4.18, 1.65, 4.36)/
Time : 08-28-15-18-45.6 //TaskState : Task1//User1 Position(3.51, 0.87, 3.94)/User2 Position(4.43, 0.95, 3.67)/User3 Position(4.18, 1.65, 4.36)/
Time : 08-28-15-18-45.7 //TaskState : Task1//User1 Position(3.51, 0.83, 4.05)/User2 Position(4.43, 0.95, 3.66)/User3 Position(4.18, 1.65, 4.36)/
Time : 08-28-15-18-45.8 //TaskState : Task1//User1 Position(3.51, 0.86, 4.05)/User2 Position(4.43, 0.95, 3.66)/User3 Position(4.19, 1.64, 4.37)/
Time : 08-28-15-18-45.9 //TaskState : Task1//User1 Position(3.51, 0.86, 4.05)/User2 Position(4.42, 0.95, 3.65)/User3 Position(4.19, 1.64, 4.37)/
Time : 08-28-15-18-46.0 //TaskState : Task1//User1 Position(3.51, 0.86, 4.05)/User2 Position(4.43, 0.95, 3.64)/User3 Position(4.19, 1.64, 4.37)/
Time : 08-28-15-18-46.1 //TaskState : Task1//User1 Position(3.51, 0.86, 4.05)/User2 Position(4.43, 0.94, 3.60)/User3 Position(4.20, 1.64, 4.37)/
Time : 08-28-15-18-46.2 //TaskState : Task1//User1 Position(3.50, 0.86, 4.05)/User2 Position(4.45, 0.86, 3.56)/User3 Position(4.20, 1.64, 4.37)/
Time : 08-28-15-18-46.3 //TaskState : Task1//User1 Position(3.50, 0.86, 4.05)/User2 Position(4.49, 0.84, 3.52)/User3 Position(4.20, 1.64, 4.37)/
Time : 08-28-15-18-46.4 //TaskState : Task1//User1 Position(3.51, 0.86, 4.05)/User2 Position(4.54, 0.85, 3.48)/User3 Position(4.19, 1.63, 4.37)/
Time : 08-28-15-18-46.5 //TaskState : Task1//User1 Position(3.51, 0.86, 4.05)/User2 Position(4.59, 0.83, 3.45)/User3 Position(4.19, 1.63, 4.38)/
Time : 08-28-15-18-46.7 //TaskState : Task1//User1 Position(3.51, 0.86, 4.05)/User2 Position(4.64, 0.84, 3.43)/User3 Position(4.19, 1.63, 4.38)/
Time : 08-28-15-18-46.8 //TaskState : Task1//User1 Position(3.51, 0.86, 4.05)/User2 Position(4.64, 0.85, 3.42)/User3 Position(4.18, 1.63, 4.38)/
Time : 08-28-15-18-46.9 //TaskState : Task1//User1 Position(3.50, 0.86, 4.05)/User2 Position(4.64, 0.85, 3.42)/User3 Position(4.18, 1.63, 4.38)/
Time : 08-28-15-18-47.0 //TaskState : Task1//User1 Position(3.50, 0.86, 4.05)/User2 Position(4.64, 0.85, 3.42)/User3 Position(4.18, 1.63, 4.38)/
Time : 08-28-15-18-47.1 //TaskState : Task1//User1 Position(3.50, 0.86, 4.05)/User2 Position(4.64, 0.85, 3.42)/User3 Position(4.18, 1.64, 4.38)/
Time : 08-28-15-18-47.2 //TaskState : Task1//User1 Position(3.50, 0.86, 4.05)/User2 Position(4.64, 0.85, 3.42)/User3 Position(4.18, 1.64, 4.38)/
Time : 08-28-15-18-47.3 //TaskState : Task1//User1 Position(3.51, 0.86, 4.05)/User2 Position(4.64, 0.85, 3.42)/User3 Position(4.18, 1.64, 4.38)/
Time : 08-28-15-18-47.4 //TaskState : Task1//User1 Position(3.51, 0.86, 4.05)/User2 Position(4.64, 0.85, 3.42)/User3 Position(4.19, 1.64, 4.38)/
Time : 08-28-15-18-47.5 //TaskState : Task1//User1 Position(3.51, 0.86, 4.05)/User2 Position(4.64, 0.85, 3.42)/User3 Position(4.19, 1.65, 4.38)/
Time : 08-28-15-18-47.7 //TaskState : Task1//User1 Position(3.51, 0.86, 4.05)/User2 Position(4.64, 0.85, 3.42)/User3 Position(4.20, 1.65, 4.38)/
Time : 08-28-15-18-47.8 //TaskState : Task1//User1 Position(3.50, 0.86, 4.05)/User2 Position(4.64, 0.85, 3.42)/User3 Position(4.20, 1.65, 4.37)/
Time : 08-28-15-18-47.9 //TaskState : Task1//User1 Position(3.50, 0.86, 4.05)/User2 Position(4.64, 0.85, 3.42)/User3 Position(4.20, 1.65, 4.37)/
Time : 08-28-15-18-48.0 //TaskState : Task1//User1 Position(3.50, 0.85, 4.05)/User2 Position(4.64, 0.85, 3.42)/User3 Position(4.20, 1.65, 4.37)/
Time : 08-28-15-18-48.1 //TaskState : Task1//User1 Position(3.49, 0.85, 4.05)/User2 Position(4.64, 0.85, 3.42)/User3 Position(4.20, 1.65, 4.37)/
Time : 08-28-15-18-48.2 //TaskState : Task1//User1 Position(3.49, 0.84, 4.05)/User2 Position(4.64, 0.85, 3.42)/User3 Position(4.20, 1.65, 4.37)/
Time : 08-28-15-18-48.3 //TaskState : Task1//User1 Position(3.49, 0.84, 4.04)/User2 Position(4.64, 0.85, 3.42)/User3 Position(4.19, 1.65, 4.37)/
