Time : 08-26-17-25-12.8 //TaskState : Task1//User1 Position(4.84, 0.00, 3.15)/User2 Position(1.94, 0.00, 3.65)/User3 Position(4.20, 1.53, 4.39)/
Time : 08-26-17-25-12.9 //TaskState : Task1//User1 Position(2.41, 1.37, 3.41)/User2 Position(1.94, 0.00, 3.65)/User3 Position(4.20, 1.53, 4.39)/
Time : 08-26-17-25-13.0 //TaskState : Task1//User1 Position(4.52, 0.95, 3.18)/User2 Position(4.00, 1.42, 2.78)/User3 Position(4.20, 1.53, 4.39)/
Time : 08-26-17-25-13.3 //TaskState : Task1//User1 Position(4.51, 0.94, 3.17)/User2 Position(4.12, 0.85, 2.83)/User3 Position(4.20, 1.53, 4.39)/
Time : 08-26-17-25-13.9 //TaskState : Task1//User1 Position(4.46, 0.91, 3.10)/User2 Position(4.12, 0.85, 2.83)/User3 Position(4.20, 1.52, 4.38)/
Time : 08-26-17-25-14.0 //TaskState : Task1//User1 Position(4.41, 0.87, 3.01)/User2 Position(4.12, 0.85, 2.83)/User3 Position(4.23, 1.50, 4.36)/
Time : 08-26-17-25-14.1 //TaskState : Task1//User1 Position(4.41, 0.87, 3.01)/User2 Position(4.12, 0.85, 2.83)/User3 Position(4.23, 1.50, 4.36)/
Time : 08-26-17-25-14.2 //TaskState : Task1//User1 Position(4.41, 0.87, 3.00)/User2 Position(4.12, 0.85, 2.83)/User3 Position(4.23, 1.50, 4.36)/
Time : 08-26-17-25-14.3 //TaskState : Task1//User1 Position(4.41, 0.87, 3.01)/User2 Position(4.12, 0.85, 2.83)/User3 Position(4.23, 1.51, 4.36)/
Time : 08-26-17-25-14.4 //TaskState : Task1//User1 Position(4.41, 0.87, 3.00)/User2 Position(4.12, 0.85, 2.83)/User3 Position(4.23, 1.52, 4.36)/
Time : 08-26-17-25-14.5 //TaskState : Task1//User1 Position(4.41, 0.87, 3.00)/User2 Position(4.12, 0.85, 2.83)/User3 Position(4.23, 1.53, 4.36)/
Time : 08-26-17-25-14.6 //TaskState : Task1//User1 Position(4.41, 0.87, 3.00)/User2 Position(4.12, 0.85, 2.83)/User3 Position(4.22, 1.53, 4.36)/
Time : 08-26-17-25-14.7 //TaskState : Task1//User1 Position(4.41, 0.87, 3.01)/User2 Position(4.12, 0.85, 2.83)/User3 Position(4.21, 1.53, 4.36)/
Time : 08-26-17-25-14.8 //TaskState : Task1//User1 Position(4.41, 0.87, 3.01)/User2 Position(4.12, 0.85, 2.83)/User3 Position(4.19, 1.53, 4.36)/
Time : 08-26-17-25-14.9 //TaskState : Task1//User1 Position(4.41, 0.87, 3.01)/User2 Position(4.12, 0.85, 2.83)/User3 Position(4.18, 1.53, 4.36)/
Time : 08-26-17-25-15.0 //TaskState : Task1//User1 Position(4.41, 0.87, 3.00)/User2 Position(4.12, 0.85, 2.83)/User3 Position(4.17, 1.53, 4.35)/
Time : 08-26-17-25-15.1 //TaskState : Task1//User1 Position(4.41, 0.95, 3.04)/User2 Position(4.12, 0.85, 2.83)/User3 Position(4.16, 1.53, 4.35)/
Time : 08-26-17-25-15.3 //TaskState : Task1//User1 Position(4.42, 1.04, 3.06)/User2 Position(4.12, 0.85, 2.83)/User3 Position(4.15, 1.53, 4.35)/
Time : 08-26-17-25-15.4 //TaskState : Task1//User1 Position(4.41, 1.04, 3.06)/User2 Position(4.12, 0.85, 2.83)/User3 Position(4.14, 1.53, 4.36)/
Time : 08-26-17-25-15.5 //TaskState : Task1//User1 Position(4.41, 1.04, 3.06)/User2 Position(4.12, 0.85, 2.83)/User3 Position(4.14, 1.53, 4.36)/
Time : 08-26-17-25-15.6 //TaskState : Task1//User1 Position(4.41, 1.04, 3.06)/User2 Position(4.12, 0.85, 2.83)/User3 Position(4.12, 1.53, 4.37)/
Time : 08-26-17-25-15.7 //TaskState : Task1//User1 Position(4.41, 1.04, 3.06)/User2 Position(4.12, 0.85, 2.83)/User3 Position(4.11, 1.53, 4.39)/
Time : 08-26-17-25-15.8 //TaskState : Task1//User1 Position(4.41, 1.04, 3.06)/User2 Position(4.12, 0.85, 2.83)/User3 Position(4.10, 1.53, 4.40)/
Time : 08-26-17-25-15.9 //TaskState : Task1//User1 Position(4.41, 1.05, 3.06)/User2 Position(4.12, 0.85, 2.83)/User3 Position(4.10, 1.53, 4.41)/
Time : 08-26-17-25-16.0 //TaskState : Task1//User1 Position(4.41, 1.05, 3.06)/User2 Position(4.12, 0.85, 2.83)/User3 Position(4.10, 1.53, 4.42)/
Time : 08-26-17-25-16.1 //TaskState : Task1//User1 Position(4.41, 1.05, 3.06)/User2 Position(4.12, 0.85, 2.83)/User3 Position(4.09, 1.53, 4.41)/
Time : 08-26-17-25-16.2 //TaskState : Task1//User1 Position(4.41, 1.05, 3.06)/User2 Position(4.12, 0.85, 2.83)/User3 Position(4.10, 1.53, 4.41)/
Time : 08-26-17-25-16.4 //TaskState : Task1//User1 Position(4.41, 1.05, 3.06)/User2 Position(4.12, 0.85, 2.83)/User3 Position(4.10, 1.53, 4.40)/
