Time : 11-07-18-02-20.8 //TaskState : Task1//User1 Position(4.84, 0.00, 3.15)/User2 Position(1.94, 0.00, 3.65)/User3 Position(4.30, 1.52, 4.35)/
Time : 11-07-18-02-21.0 //TaskState : Task1//User1 Position(4.84, 0.00, 3.15)/User2 Position(1.94, 0.00, 3.65)/User3 Position(4.31, 1.52, 4.36)/
Time : 11-07-18-02-42.6 //TaskState : Task1//User1 Position(4.84, 0.00, 3.15)/User2 Position(1.94, 0.00, 3.65)/User3 Position(4.29, 1.53, 4.48)/
Time : 11-07-18-02-42.8 //TaskState : Task1//User1 Position(1.93, 1.38, 1.92)/User2 Position(1.94, 0.00, 3.65)/User3 Position(4.29, 1.53, 4.48)/
Time : 11-07-18-02-42.9 //TaskState : Task1//User1 Position(1.87, 0.83, 2.88)/User2 Position(2.61, 1.16, 1.45)/User3 Position(4.29, 1.53, 4.48)/
Time : 11-07-18-02-43.2 //TaskState : Task1//User1 Position(1.87, 0.83, 2.88)/User2 Position(2.61, 1.16, 1.46)/User3 Position(4.29, 1.53, 4.48)/
Time : 11-07-18-02-43.3 //TaskState : Task1//User1 Position(1.87, 0.83, 2.88)/User2 Position(2.60, 1.16, 1.47)/User3 Position(4.29, 1.53, 4.48)/
Time : 11-07-18-02-43.8 //TaskState : Task1//User1 Position(1.87, 0.83, 2.88)/User2 Position(2.60, 1.16, 1.47)/User3 Position(4.29, 1.53, 4.48)/
Time : 11-07-18-02-43.9 //TaskState : Task1//User1 Position(1.87, 0.83, 2.87)/User2 Position(2.60, 1.16, 1.46)/User3 Position(4.29, 1.53, 4.47)/
Time : 11-07-18-02-44.0 //TaskState : Task1//User1 Position(1.87, 0.83, 2.88)/User2 Position(2.62, 1.14, 1.46)/User3 Position(4.29, 1.53, 4.47)/
Time : 11-07-18-02-44.1 //TaskState : Task1//User1 Position(1.87, 0.83, 2.88)/User2 Position(2.61, 1.16, 1.47)/User3 Position(4.29, 1.53, 4.47)/
Time : 11-07-18-02-44.2 //TaskState : Task1//User1 Position(1.87, 0.83, 2.88)/User2 Position(2.61, 1.16, 1.47)/User3 Position(4.29, 1.53, 4.47)/
Time : 11-07-18-02-44.3 //TaskState : Task1//User1 Position(1.87, 0.83, 2.87)/User2 Position(2.60, 1.16, 1.47)/User3 Position(4.29, 1.53, 4.47)/
Time : 11-07-18-02-44.4 //TaskState : Task1//User1 Position(1.87, 0.83, 2.87)/User2 Position(2.60, 1.16, 1.47)/User3 Position(4.29, 1.53, 4.47)/
Time : 11-07-18-02-44.5 //TaskState : Task1//User1 Position(1.87, 0.83, 2.87)/User2 Position(2.60, 1.16, 1.47)/User3 Position(4.29, 1.53, 4.47)/
Time : 11-07-18-02-44.6 //TaskState : Task1//User1 Position(1.87, 0.83, 2.87)/User2 Position(2.60, 1.16, 1.48)/User3 Position(4.29, 1.53, 4.47)/
Time : 11-07-18-02-44.7 //TaskState : Task1//User1 Position(1.87, 0.83, 2.87)/User2 Position(2.60, 1.16, 1.47)/User3 Position(4.29, 1.53, 4.47)/
Time : 11-07-18-02-44.8 //TaskState : Task1//User1 Position(1.87, 0.83, 2.87)/User2 Position(2.60, 1.16, 1.47)/User3 Position(4.29, 1.53, 4.47)/
Time : 11-07-18-02-45.0 //TaskState : Task1//User1 Position(1.87, 0.83, 2.87)/User2 Position(2.60, 1.16, 1.47)/User3 Position(4.29, 1.53, 4.47)/
Time : 11-07-18-02-45.1 //TaskState : Task1//User1 Position(1.87, 0.83, 2.87)/User2 Position(2.60, 1.16, 1.47)/User3 Position(4.29, 1.53, 4.47)/
Time : 11-07-18-02-45.2 //TaskState : Task1//User1 Position(1.87, 0.83, 2.87)/User2 Position(2.60, 1.15, 1.48)/User3 Position(4.29, 1.53, 4.47)/
Time : 11-07-18-02-45.3 //TaskState : Task1//User1 Position(1.87, 0.83, 2.87)/User2 Position(2.60, 1.14, 1.47)/User3 Position(4.29, 1.53, 4.47)/
Time : 11-07-18-02-45.4 //TaskState : Task1//User1 Position(1.87, 0.83, 2.87)/User2 Position(2.58, 1.10, 1.47)/User3 Position(4.29, 1.53, 4.47)/
Time : 11-07-18-02-45.5 //TaskState : Task1//User1 Position(1.87, 0.83, 2.88)/User2 Position(2.55, 1.04, 1.47)/User3 Position(4.29, 1.53, 4.47)/
Time : 11-07-18-02-45.6 //TaskState : Task1//User1 Position(1.87, 0.83, 2.88)/User2 Position(2.51, 0.97, 1.48)/User3 Position(4.29, 1.53, 4.47)/
Time : 11-07-18-02-45.7 //TaskState : Task1//User1 Position(1.87, 0.83, 2.87)/User2 Position(2.47, 0.91, 1.48)/User3 Position(4.29, 1.53, 4.47)/
Time : 11-07-18-02-45.9 //TaskState : Task1//User1 Position(1.87, 0.83, 2.88)/User2 Position(2.44, 0.85, 1.47)/User3 Position(4.29, 1.53, 4.47)/
Time : 11-07-18-02-46.0 //TaskState : Task1//User1 Position(1.87, 0.83, 2.88)/User2 Position(2.41, 0.82, 1.47)/User3 Position(4.29, 1.53, 4.47)/
Time : 11-07-18-02-46.1 //TaskState : Task1//User1 Position(1.87, 0.83, 2.88)/User2 Position(2.40, 0.80, 1.47)/User3 Position(4.29, 1.53, 4.47)/
Time : 11-07-18-02-46.2 //TaskState : Task1//User1 Position(1.87, 0.83, 2.87)/User2 Position(2.40, 0.79, 1.47)/User3 Position(4.29, 1.53, 4.47)/
Time : 11-07-18-02-46.3 //TaskState : Task1//User1 Position(1.87, 0.83, 2.87)/User2 Position(2.40, 0.79, 1.47)/User3 Position(4.29, 1.53, 4.47)/
Time : 11-07-18-02-46.4 //TaskState : Task1//User1 Position(1.87, 0.83, 2.88)/User2 Position(2.40, 0.79, 1.47)/User3 Position(4.29, 1.53, 4.47)/
Time : 11-07-18-02-46.5 //TaskState : Task1//User1 Position(1.87, 0.83, 2.88)/User2 Position(2.40, 0.79, 1.47)/User3 Position(4.29, 1.53, 4.48)/
Time : 11-07-18-02-46.6 //TaskState : Task1//User1 Position(1.87, 0.83, 2.87)/User2 Position(2.40, 0.79, 1.47)/User3 Position(4.30, 1.53, 4.48)/
Time : 11-07-18-02-46.7 //TaskState : Task1//User1 Position(1.87, 0.83, 2.87)/User2 Position(2.40, 0.79, 1.47)/User3 Position(4.31, 1.53, 4.49)/
Time : 11-07-18-02-46.9 //TaskState : Task1//User1 Position(1.87, 0.83, 2.87)/User2 Position(2.40, 0.79, 1.47)/User3 Position(4.31, 1.53, 4.50)/
Time : 11-07-18-02-47.0 //TaskState : Task1//User1 Position(1.87, 0.83, 2.87)/User2 Position(2.40, 0.79, 1.47)/User3 Position(4.31, 1.53, 4.51)/
Time : 11-07-18-02-47.1 //TaskState : Task1//User1 Position(1.87, 0.83, 2.88)/User2 Position(2.40, 0.79, 1.47)/User3 Position(4.32, 1.53, 4.51)/
Time : 11-07-18-02-47.2 //TaskState : Task1//User1 Position(1.87, 0.83, 2.87)/User2 Position(2.40, 0.79, 1.47)/User3 Position(4.32, 1.53, 4.51)/
Time : 11-07-18-02-47.3 //TaskState : Task1//User1 Position(1.87, 0.83, 2.87)/User2 Position(2.40, 0.79, 1.47)/User3 Position(4.32, 1.53, 4.52)/
Time : 11-07-18-02-47.4 //TaskState : Task1//User1 Position(1.87, 0.83, 2.87)/User2 Position(2.40, 0.79, 1.47)/User3 Position(4.32, 1.53, 4.52)/
Time : 11-07-18-02-47.5 //TaskState : Task1//User1 Position(1.87, 0.83, 2.87)/User2 Position(2.40, 0.79, 1.47)/User3 Position(4.32, 1.53, 4.52)/
Time : 11-07-18-02-47.6 //TaskState : Task1//User1 Position(1.87, 0.83, 2.87)/User2 Position(2.40, 0.79, 1.47)/User3 Position(4.33, 1.53, 4.52)/
Time : 11-07-18-02-47.7 //TaskState : Task1//User1 Position(1.87, 0.83, 2.87)/User2 Position(2.40, 0.79, 1.47)/User3 Position(4.32, 1.53, 4.52)/
Time : 11-07-18-02-47.8 //TaskState : Task1//User1 Position(1.87, 0.83, 2.87)/User2 Position(2.40, 0.79, 1.47)/User3 Position(4.32, 1.53, 4.52)/
Time : 11-07-18-02-48.0 //TaskState : Task1//User1 Position(1.87, 0.83, 2.87)/User2 Position(2.40, 0.79, 1.47)/User3 Position(4.32, 1.53, 4.52)/
Time : 11-07-18-02-48.1 //TaskState : Task1//User1 Position(1.80, 0.74, 3.06)/User2 Position(2.40, 0.79, 1.47)/User3 Position(4.32, 1.53, 4.52)/
Time : 11-07-18-02-48.2 //TaskState : Task1//User1 Position(1.67, 0.80, 3.56)/User2 Position(2.40, 0.79, 1.47)/User3 Position(4.32, 1.53, 4.52)/
Time : 11-07-18-02-48.3 //TaskState : Task1//User1 Position(1.68, 0.84, 3.62)/User2 Position(2.40, 0.79, 1.47)/User3 Position(4.32, 1.53, 4.52)/
Time : 11-07-18-02-48.4 //TaskState : Task1//User1 Position(1.69, 0.84, 3.64)/User2 Position(2.40, 0.79, 1.47)/User3 Position(4.32, 1.53, 4.52)/
Time : 11-07-18-02-48.5 //TaskState : Task1//User1 Position(1.71, 0.84, 3.65)/User2 Position(2.40, 0.79, 1.47)/User3 Position(4.32, 1.53, 4.51)/
Time : 11-07-18-02-48.6 //TaskState : Task1//User1 Position(1.71, 0.84, 3.65)/User2 Position(2.40, 0.79, 1.47)/User3 Position(4.32, 1.52, 4.51)/
