Time : 09-10-11-43-16.8 //TaskState : Task1//User1 Position(4.84, 0.00, 3.15)/User2 Position(1.94, 0.00, 3.65)/User3 Position(3.64, 1.54, 4.33)/
Time : 09-10-11-43-16.9 //TaskState : Task1//User1 Position(4.09, 1.38, 3.22)/User2 Position(1.94, 0.00, 3.65)/User3 Position(3.65, 1.51, 4.31)/
Time : 09-10-11-43-37.5 //TaskState : Task1//User1 Position(4.84, 0.00, 3.15)/User2 Position(1.94, 0.00, 3.65)/User3 Position(3.59, 1.60, 4.35)/
Time : 09-10-11-43-37.7 //TaskState : Task1//User1 Position(4.09, 1.38, 3.22)/User2 Position(1.94, 0.00, 3.65)/User3 Position(3.59, 1.60, 4.35)/
Time : 09-10-11-43-59.5 //TaskState : Task1//User1 Position(4.84, 0.00, 3.15)/User2 Position(1.94, 0.00, 3.65)/User3 Position(3.58, 1.60, 4.34)/
Time : 09-10-11-43-59.6 //TaskState : Task1//User1 Position(4.09, 1.38, 3.22)/User2 Position(1.94, 0.00, 3.65)/User3 Position(3.58, 1.60, 4.34)/
Time : 09-10-11-44-00.0 //TaskState : Task1//User1 Position(4.09, 1.38, 3.22)/User2 Position(3.87, 1.17, 4.71)/User3 Position(3.58, 1.60, 4.34)/
Time : 09-10-11-44-00.4 //TaskState : Task1//User1 Position(4.09, 1.38, 3.22)/User2 Position(3.90, 1.20, 4.75)/User3 Position(3.58, 1.60, 4.34)/
Time : 09-10-11-44-00.5 //TaskState : Task1//User1 Position(4.09, 1.38, 3.22)/User2 Position(3.94, 1.24, 4.83)/User3 Position(3.58, 1.60, 4.34)/
Time : 09-10-11-44-00.6 //TaskState : Task1//User1 Position(4.09, 1.38, 3.22)/User2 Position(3.99, 1.23, 4.85)/User3 Position(3.58, 1.60, 4.34)/
Time : 09-10-11-44-00.7 //TaskState : Task1//User1 Position(4.09, 1.38, 3.22)/User2 Position(4.01, 1.23, 4.87)/User3 Position(3.58, 1.60, 4.34)/
Time : 09-10-11-44-00.8 //TaskState : Task1//User1 Position(4.09, 1.38, 3.22)/User2 Position(4.02, 1.23, 4.88)/User3 Position(3.58, 1.60, 4.34)/
Time : 09-10-11-44-00.9 //TaskState : Task1//User1 Position(4.09, 1.38, 3.22)/User2 Position(4.01, 1.26, 4.90)/User3 Position(3.58, 1.60, 4.34)/
Time : 09-10-11-44-01.1 //TaskState : Task1//User1 Position(4.09, 1.38, 3.22)/User2 Position(4.02, 1.27, 4.90)/User3 Position(3.58, 1.60, 4.34)/
Time : 09-10-11-44-01.1 //TaskState : Task1//User1 Position(4.09, 1.38, 3.22)/User2 Position(4.02, 1.27, 4.89)/User3 Position(3.58, 1.60, 4.34)/
Time : 09-10-11-44-01.3 //TaskState : Task1//User1 Position(4.09, 1.38, 3.22)/User2 Position(4.02, 1.25, 4.86)/User3 Position(3.58, 1.60, 4.35)/
Time : 09-10-11-44-01.4 //TaskState : Task1//User1 Position(4.09, 1.38, 3.22)/User2 Position(4.01, 1.24, 4.84)/User3 Position(3.58, 1.60, 4.35)/
Time : 09-10-11-44-01.5 //TaskState : Task1//User1 Position(4.09, 1.38, 3.22)/User2 Position(3.99, 1.24, 4.84)/User3 Position(3.58, 1.60, 4.35)/
Time : 09-10-11-44-01.6 //TaskState : Task1//User1 Position(4.09, 1.38, 3.22)/User2 Position(3.98, 1.23, 4.82)/User3 Position(3.58, 1.60, 4.35)/
Time : 09-10-11-44-01.7 //TaskState : Task1//User1 Position(4.09, 1.38, 3.22)/User2 Position(3.99, 1.22, 4.79)/User3 Position(3.58, 1.60, 4.35)/
Time : 09-10-11-44-01.8 //TaskState : Task1//User1 Position(4.09, 1.38, 3.22)/User2 Position(3.97, 1.23, 4.80)/User3 Position(3.58, 1.60, 4.35)/
Time : 09-10-11-44-01.9 //TaskState : Task1//User1 Position(4.09, 1.38, 3.22)/User2 Position(3.96, 1.24, 4.80)/User3 Position(3.59, 1.60, 4.35)/
Time : 09-10-11-44-02.0 //TaskState : Task1//User1 Position(4.09, 1.38, 3.22)/User2 Position(3.96, 1.24, 4.81)/User3 Position(3.59, 1.60, 4.35)/
Time : 09-10-11-44-02.1 //TaskState : Task1//User1 Position(4.09, 1.38, 3.22)/User2 Position(3.96, 1.26, 4.84)/User3 Position(3.59, 1.60, 4.35)/
Time : 09-10-11-44-02.3 //TaskState : Task1//User1 Position(4.09, 1.38, 3.22)/User2 Position(3.96, 1.26, 4.85)/User3 Position(3.59, 1.60, 4.35)/
Time : 09-10-11-44-02.4 //TaskState : Task1//User1 Position(4.09, 1.38, 3.22)/User2 Position(3.97, 1.25, 4.85)/User3 Position(3.59, 1.60, 4.35)/
Time : 09-10-11-44-02.5 //TaskState : Task1//User1 Position(4.09, 1.38, 3.22)/User2 Position(3.98, 1.25, 4.86)/User3 Position(3.59, 1.60, 4.35)/
Time : 09-10-11-44-02.6 //TaskState : Task1//User1 Position(4.09, 1.38, 3.22)/User2 Position(4.01, 1.26, 4.86)/User3 Position(3.59, 1.60, 4.35)/
Time : 09-10-11-44-02.7 //TaskState : Task1//User1 Position(4.09, 1.38, 3.22)/User2 Position(4.06, 1.26, 4.88)/User3 Position(3.59, 1.60, 4.35)/
Time : 09-10-11-44-02.8 //TaskState : Task1//User1 Position(4.09, 1.38, 3.22)/User2 Position(4.13, 1.24, 4.90)/User3 Position(3.59, 1.60, 4.36)/
Time : 09-10-11-44-02.9 //TaskState : Task1//User1 Position(4.09, 1.38, 3.22)/User2 Position(4.18, 1.21, 4.92)/User3 Position(3.59, 1.60, 4.38)/
Time : 09-10-11-44-03.0 //TaskState : Task1//User1 Position(4.09, 1.38, 3.22)/User2 Position(4.20, 1.22, 4.95)/User3 Position(3.59, 1.60, 4.40)/
Time : 09-10-11-44-03.1 //TaskState : Task1//User1 Position(4.09, 1.38, 3.22)/User2 Position(4.22, 1.22, 4.96)/User3 Position(3.60, 1.60, 4.41)/
Time : 09-10-11-44-03.3 //TaskState : Task1//User1 Position(4.09, 1.38, 3.22)/User2 Position(4.22, 1.22, 4.97)/User3 Position(3.60, 1.60, 4.42)/
