Time : 09-02-16-26-41.9 //TaskState : Task1//User1 Position(4.84, 0.00, 3.15)/User2 Position(1.94, 0.00, 3.65)/User3 Position(3.80, 1.47, 4.14)/
Time : 09-02-16-26-42.1 //TaskState : Task1//User1 Position(3.53, 1.35, 5.28)/User2 Position(1.94, 0.00, 3.65)/User3 Position(3.80, 1.47, 4.14)/
Time : 09-02-16-26-42.2 //TaskState : Task1//User1 Position(3.90, 1.19, 4.04)/User2 Position(4.28, 1.29, 5.20)/User3 Position(3.79, 1.47, 4.13)/
Time : 09-02-16-26-42.4 //TaskState : Task1//User1 Position(3.90, 1.19, 4.04)/User2 Position(4.43, 1.10, 3.76)/User3 Position(3.79, 1.47, 4.13)/
Time : 09-02-16-26-42.5 //TaskState : Task1//User1 Position(3.90, 1.19, 4.04)/User2 Position(4.43, 1.13, 3.75)/User3 Position(3.79, 1.47, 4.12)/
Time : 09-02-16-26-43.0 //TaskState : Task1//User1 Position(3.90, 1.19, 4.04)/User2 Position(4.43, 1.13, 3.75)/User3 Position(3.79, 1.47, 4.12)/
Time : 09-02-16-26-43.1 //TaskState : Task1//User1 Position(3.90, 1.19, 4.04)/User2 Position(4.39, 1.13, 3.76)/User3 Position(3.80, 1.48, 4.12)/
Time : 09-02-16-26-43.2 //TaskState : Task1//User1 Position(3.90, 1.19, 4.04)/User2 Position(4.38, 1.13, 3.76)/User3 Position(3.80, 1.48, 4.12)/
Time : 09-02-16-26-43.3 //TaskState : Task1//User1 Position(3.90, 1.21, 4.02)/User2 Position(4.38, 1.13, 3.76)/User3 Position(3.80, 1.48, 4.14)/
Time : 09-02-16-26-43.4 //TaskState : Task1//User1 Position(3.90, 1.21, 4.01)/User2 Position(4.37, 1.12, 3.76)/User3 Position(3.79, 1.48, 4.15)/
Time : 09-02-16-26-43.6 //TaskState : Task1//User1 Position(3.87, 1.18, 4.03)/User2 Position(4.37, 1.12, 3.77)/User3 Position(3.78, 1.47, 4.17)/
Time : 09-02-16-26-43.7 //TaskState : Task1//User1 Position(3.87, 1.15, 4.04)/User2 Position(4.37, 1.12, 3.77)/User3 Position(3.77, 1.47, 4.18)/
Time : 09-02-16-26-43.8 //TaskState : Task1//User1 Position(3.88, 1.12, 4.07)/User2 Position(4.37, 1.12, 3.75)/User3 Position(3.75, 1.47, 4.18)/
Time : 09-02-16-26-43.9 //TaskState : Task1//User1 Position(3.88, 1.08, 4.11)/User2 Position(4.38, 1.12, 3.74)/User3 Position(3.75, 1.48, 4.19)/
Time : 09-02-16-26-44.0 //TaskState : Task1//User1 Position(3.88, 1.07, 4.10)/User2 Position(4.39, 1.11, 3.73)/User3 Position(3.74, 1.48, 4.20)/
Time : 09-02-16-26-44.1 //TaskState : Task1//User1 Position(3.87, 1.11, 4.01)/User2 Position(4.39, 1.10, 3.73)/User3 Position(3.74, 1.48, 4.22)/
Time : 09-02-16-26-44.2 //TaskState : Task1//User1 Position(3.82, 1.17, 3.82)/User2 Position(4.39, 1.09, 3.73)/User3 Position(3.75, 1.47, 4.25)/
Time : 09-02-16-26-44.3 //TaskState : Task1//User1 Position(3.71, 1.19, 3.92)/User2 Position(4.39, 1.09, 3.72)/User3 Position(3.76, 1.47, 4.28)/
Time : 09-02-16-26-44.4 //TaskState : Task1//User1 Position(3.64, 1.23, 3.95)/User2 Position(4.39, 1.09, 3.73)/User3 Position(3.78, 1.47, 4.31)/
Time : 09-02-16-26-44.6 //TaskState : Task1//User1 Position(3.62, 1.26, 3.92)/User2 Position(4.39, 1.09, 3.73)/User3 Position(3.79, 1.47, 4.34)/
Time : 09-02-16-26-44.7 //TaskState : Task1//User1 Position(3.58, 1.30, 4.03)/User2 Position(4.39, 1.08, 3.73)/User3 Position(3.81, 1.46, 4.37)/
