Time : 07-23-17-33-35.4 //TaskState : Task1//User1 Position(0.67, 1.37, 0.00)/User2 Position(3.77, 1.27, 3.16)/User3 Position(-0.64, 1.75, 1.11)/
Time : 07-23-17-33-35.5 //TaskState : Task1//User1 Position(0.67, 1.37, 0.00)/User2 Position(3.78, 1.27, 3.15)/User3 Position(-0.66, 1.75, 1.09)/
Time : 07-23-17-33-35.6 //TaskState : Task1//User1 Position(0.67, 1.37, 0.00)/User2 Position(3.79, 1.28, 3.15)/User3 Position(-0.69, 1.75, 1.07)/
Time : 07-23-17-33-35.7 //TaskState : Task1//User1 Position(0.67, 1.37, 0.00)/User2 Position(3.79, 1.28, 3.15)/User3 Position(-0.71, 1.75, 1.05)/
Time : 07-23-17-33-35.8 //TaskState : Task1//User1 Position(0.67, 1.37, 0.00)/User2 Position(3.79, 1.28, 3.15)/User3 Position(-0.73, 1.74, 1.03)/
Time : 07-23-17-33-35.9 //TaskState : Task1//User1 Position(0.67, 1.37, 0.00)/User2 Position(3.79, 1.28, 3.16)/User3 Position(-0.75, 1.73, 1.01)/
Time : 07-23-17-33-36.0 //TaskState : Task1//User1 Position(0.67, 1.37, 0.00)/User2 Position(3.79, 1.28, 3.19)/User3 Position(-0.76, 1.73, 0.99)/
Time : 07-23-17-33-36.1 //TaskState : Task1//User1 Position(0.67, 1.37, 0.00)/User2 Position(3.80, 1.28, 3.23)/User3 Position(-0.79, 1.73, 0.98)/
Time : 07-23-17-33-36.3 //TaskState : Task1//User1 Position(0.67, 1.37, 0.00)/User2 Position(3.80, 1.28, 3.28)/User3 Position(-0.83, 1.72, 0.98)/
Time : 07-23-17-33-36.4 //TaskState : Task1//User1 Position(0.67, 1.37, 0.00)/User2 Position(3.79, 1.26, 3.33)/User3 Position(-0.87, 1.72, 0.98)/
Time : 07-23-17-33-36.5 //TaskState : Task1//User1 Position(0.67, 1.37, 0.00)/User2 Position(3.79, 1.26, 3.36)/User3 Position(-0.92, 1.70, 0.97)/
Time : 07-23-17-33-36.6 //TaskState : Task1//User1 Position(0.67, 1.37, 0.00)/User2 Position(3.79, 1.26, 3.39)/User3 Position(-0.98, 1.67, 0.96)/
Time : 07-23-17-33-36.7 //TaskState : Task1//User1 Position(0.67, 1.37, 0.00)/User2 Position(3.76, 1.26, 3.42)/User3 Position(-1.04, 1.65, 0.95)/
Time : 07-23-17-33-36.8 //TaskState : Task1//User1 Position(0.67, 1.37, 0.00)/User2 Position(3.74, 1.26, 3.45)/User3 Position(-1.08, 1.64, 0.93)/
Time : 07-23-17-33-36.9 //TaskState : Task1//User1 Position(0.67, 1.37, 0.00)/User2 Position(3.70, 1.27, 3.48)/User3 Position(-1.12, 1.64, 0.92)/
Time : 07-23-17-33-37.0 //TaskState : Task1//User1 Position(0.67, 1.37, 0.00)/User2 Position(3.64, 1.28, 3.52)/User3 Position(-1.13, 1.64, 0.92)/
Time : 07-23-17-33-37.1 //TaskState : Task1//User1 Position(0.67, 1.37, 0.00)/User2 Position(3.57, 1.30, 3.54)/User3 Position(-1.14, 1.66, 0.93)/
Time : 07-23-17-33-37.3 //TaskState : Task1//User1 Position(0.67, 1.37, 0.00)/User2 Position(3.55, 1.33, 3.55)/User3 Position(-1.11, 1.67, 0.95)/
Time : 07-23-17-33-37.4 //TaskState : Task1//User1 Position(0.67, 1.37, 0.00)/User2 Position(3.53, 1.34, 3.56)/User3 Position(-1.06, 1.69, 0.95)/
Time : 07-23-17-33-37.5 //TaskState : Task1//User1 Position(0.67, 1.37, 0.00)/User2 Position(3.53, 1.34, 3.54)/User3 Position(-1.02, 1.70, 0.94)/
Time : 07-23-17-33-37.6 //TaskState : Task1//User1 Position(0.67, 1.37, 0.00)/User2 Position(3.57, 1.37, 3.53)/User3 Position(-1.00, 1.71, 0.93)/
Time : 07-23-17-33-37.7 //TaskState : Task1//User1 Position(0.67, 1.37, 0.00)/User2 Position(3.60, 1.39, 3.55)/User3 Position(-0.98, 1.73, 0.94)/
Time : 07-23-17-33-37.8 //TaskState : Task1//User1 Position(0.67, 1.37, 0.00)/User2 Position(3.63, 1.38, 3.57)/User3 Position(-0.97, 1.75, 0.94)/
Time : 07-23-17-33-37.9 //TaskState : Task1//User1 Position(0.67, 1.37, 0.00)/User2 Position(3.66, 1.37, 3.60)/User3 Position(-0.95, 1.74, 0.93)/
Time : 07-23-17-33-38.0 //TaskState : Task1//User1 Position(0.67, 1.37, 0.00)/User2 Position(3.67, 1.39, 3.64)/User3 Position(-0.92, 1.74, 0.92)/
Time : 07-23-17-33-38.1 //TaskState : Task1//User1 Position(0.67, 1.37, 0.00)/User2 Position(3.67, 1.39, 3.67)/User3 Position(-0.90, 1.74, 0.92)/
Time : 07-23-17-33-38.3 //TaskState : Task1//User1 Position(0.67, 1.37, 0.00)/User2 Position(3.66, 1.37, 3.69)/User3 Position(-0.88, 1.74, 0.92)/
Time : 07-23-17-33-38.4 //TaskState : Task1//User1 Position(0.67, 1.37, 0.00)/User2 Position(3.68, 1.36, 3.70)/User3 Position(-0.87, 1.74, 0.93)/
Time : 07-23-17-33-38.5 //TaskState : Task1//User1 Position(0.67, 1.37, 0.00)/User2 Position(3.72, 1.38, 3.72)/User3 Position(-0.86, 1.74, 0.94)/
Time : 07-23-17-33-38.6 //TaskState : Task1//User1 Position(0.67, 1.37, 0.00)/User2 Position(3.73, 1.38, 3.72)/User3 Position(-0.86, 1.74, 0.96)/
Time : 07-23-17-33-38.7 //TaskState : Task1//User1 Position(0.67, 1.37, 0.00)/User2 Position(3.73, 1.38, 3.72)/User3 Position(-0.87, 1.75, 0.98)/
Time : 07-23-17-33-38.8 //TaskState : Task1//User1 Position(0.67, 1.37, 0.00)/User2 Position(3.75, 1.37, 3.72)/User3 Position(-0.90, 1.77, 1.02)/
Time : 07-23-17-33-38.9 //TaskState : Task1//User1 Position(0.67, 1.37, 0.00)/User2 Position(3.76, 1.37, 3.72)/User3 Position(-0.95, 1.80, 1.03)/
Time : 07-23-17-33-39.0 //TaskState : Task1//User1 Position(0.67, 1.37, 0.00)/User2 Position(3.76, 1.37, 3.73)/User3 Position(-1.01, 1.84, 1.02)/
Time : 07-23-17-33-39.1 //TaskState : Task1//User1 Position(0.67, 1.37, 0.00)/User2 Position(3.76, 1.37, 3.72)/User3 Position(-1.09, 1.87, 1.02)/
Time : 07-23-17-33-39.3 //TaskState : Task1//User1 Position(0.67, 1.37, 0.00)/User2 Position(3.49, 1.27, 3.72)/User3 Position(-1.18, 1.88, 0.97)/
Time : 07-23-17-33-39.4 //TaskState : Task1//User1 Position(0.67, 1.37, 0.00)/User2 Position(3.41, 1.26, 3.78)/User3 Position(-1.26, 1.86, 0.88)/
Time : 07-23-17-33-39.5 //TaskState : Task1//User1 Position(0.67, 1.37, 0.00)/User2 Position(3.40, 1.28, 3.82)/User3 Position(-1.30, 1.82, 0.79)/
Time : 07-23-17-33-39.6 //TaskState : Task1//User1 Position(0.67, 1.37, 0.00)/User2 Position(3.39, 1.31, 3.86)/User3 Position(-1.32, 1.76, 0.71)/
Time : 07-23-17-33-39.7 //TaskState : Task1//User1 Position(0.67, 1.37, 0.00)/User2 Position(3.37, 1.27, 3.87)/User3 Position(-1.33, 1.71, 0.66)/
Time : 07-23-17-33-39.8 //TaskState : Task1//User1 Position(0.67, 1.37, 0.00)/User2 Position(3.36, 1.22, 3.85)/User3 Position(-1.37, 1.68, 0.63)/
