Time : 09-02-18-27-48.1 //TaskState : Task1//User1 Position(4.84, 0.00, 3.15)/User2 Position(1.94, 0.00, 3.65)/User3 Position(3.59, 1.47, 4.10)/
Time : 09-02-18-27-48.3 //TaskState : Task1//User1 Position(1.93, 1.37, 1.28)/User2 Position(1.94, 0.00, 3.65)/User3 Position(3.59, 1.47, 4.10)/
Time : 09-02-18-27-48.4 //TaskState : Task1//User1 Position(4.86, 0.84, 3.44)/User2 Position(3.70, 0.81, 4.41)/User3 Position(3.59, 1.47, 4.10)/
Time : 09-02-18-27-48.7 //TaskState : Task1//User1 Position(4.86, 0.84, 3.44)/User2 Position(3.76, 0.65, 4.18)/User3 Position(3.59, 1.47, 4.10)/
Time : 09-02-18-27-48.8 //TaskState : Task1//User1 Position(4.84, 0.84, 3.45)/User2 Position(3.19, 0.81, 3.06)/User3 Position(3.60, 1.47, 4.10)/
Time : 09-02-18-27-49.2 //TaskState : Task1//User1 Position(4.83, 0.84, 3.45)/User2 Position(3.23, 0.87, 3.24)/User3 Position(3.60, 1.47, 4.10)/
Time : 09-02-18-27-49.4 //TaskState : Task1//User1 Position(4.85, 0.85, 3.47)/User2 Position(3.38, 1.14, 3.37)/User3 Position(3.60, 1.47, 4.11)/
Time : 09-02-18-27-49.5 //TaskState : Task1//User1 Position(4.85, 0.85, 3.47)/User2 Position(3.38, 1.11, 3.36)/User3 Position(3.60, 1.47, 4.11)/
Time : 09-02-18-27-49.6 //TaskState : Task1//User1 Position(4.84, 0.84, 3.47)/User2 Position(3.38, 1.08, 3.36)/User3 Position(3.60, 1.47, 4.11)/
Time : 09-02-18-27-49.7 //TaskState : Task1//User1 Position(4.81, 0.84, 3.45)/User2 Position(3.38, 0.95, 3.33)/User3 Position(3.60, 1.47, 4.11)/
Time : 09-02-18-27-49.8 //TaskState : Task1//User1 Position(4.79, 0.84, 3.43)/User2 Position(3.37, 0.87, 3.29)/User3 Position(3.60, 1.47, 4.11)/
Time : 09-02-18-27-49.9 //TaskState : Task1//User1 Position(4.78, 0.84, 3.42)/User2 Position(3.35, 0.83, 3.24)/User3 Position(3.60, 1.47, 4.11)/
Time : 09-02-18-27-50.0 //TaskState : Task1//User1 Position(4.78, 0.84, 3.42)/User2 Position(3.33, 0.83, 3.19)/User3 Position(3.60, 1.47, 4.11)/
Time : 09-02-18-27-50.1 //TaskState : Task1//User1 Position(4.78, 0.84, 3.42)/User2 Position(3.33, 0.83, 3.19)/User3 Position(3.60, 1.47, 4.11)/
Time : 09-02-18-27-50.2 //TaskState : Task1//User1 Position(4.78, 0.85, 3.41)/User2 Position(3.33, 0.83, 3.18)/User3 Position(3.60, 1.47, 4.11)/
Time : 09-02-18-27-50.3 //TaskState : Task1//User1 Position(4.78, 0.85, 3.40)/User2 Position(3.33, 0.83, 3.19)/User3 Position(3.60, 1.47, 4.11)/
Time : 09-02-18-27-50.5 //TaskState : Task1//User1 Position(4.78, 0.84, 3.40)/User2 Position(3.33, 0.83, 3.19)/User3 Position(3.60, 1.47, 4.11)/
Time : 09-02-18-27-50.6 //TaskState : Task1//User1 Position(4.79, 0.85, 3.39)/User2 Position(3.33, 0.83, 3.19)/User3 Position(3.60, 1.47, 4.11)/
Time : 09-02-18-27-50.7 //TaskState : Task1//User1 Position(4.79, 0.85, 3.38)/User2 Position(3.33, 0.83, 3.19)/User3 Position(3.60, 1.47, 4.11)/
Time : 09-02-18-27-50.8 //TaskState : Task1//User1 Position(4.79, 0.85, 3.37)/User2 Position(3.33, 0.83, 3.18)/User3 Position(3.60, 1.47, 4.10)/
Time : 09-02-18-27-50.9 //TaskState : Task1//User1 Position(4.80, 0.85, 3.34)/User2 Position(3.33, 0.83, 3.18)/User3 Position(3.61, 1.47, 4.10)/
Time : 09-02-18-27-51.0 //TaskState : Task1//User1 Position(4.81, 0.85, 3.31)/User2 Position(3.33, 0.83, 3.18)/User3 Position(3.61, 1.47, 4.10)/
Time : 09-02-18-27-51.1 //TaskState : Task1//User1 Position(4.81, 0.85, 3.28)/User2 Position(3.33, 0.83, 3.18)/User3 Position(3.61, 1.47, 4.10)/
Time : 09-02-18-27-51.2 //TaskState : Task1//User1 Position(4.81, 0.85, 3.24)/User2 Position(3.33, 0.83, 3.19)/User3 Position(3.61, 1.47, 4.10)/
Time : 09-02-18-27-51.3 //TaskState : Task1//User1 Position(4.81, 0.85, 3.21)/User2 Position(3.33, 0.83, 3.18)/User3 Position(3.61, 1.47, 4.10)/
Time : 09-02-18-27-51.5 //TaskState : Task1//User1 Position(4.81, 0.85, 3.19)/User2 Position(3.33, 0.83, 3.18)/User3 Position(3.61, 1.47, 4.10)/
Time : 09-02-18-27-51.6 //TaskState : Task1//User1 Position(4.81, 0.85, 3.17)/User2 Position(3.33, 0.83, 3.18)/User3 Position(3.62, 1.47, 4.10)/
Time : 09-02-18-27-51.7 //TaskState : Task1//User1 Position(4.81, 0.85, 3.15)/User2 Position(3.33, 0.83, 3.18)/User3 Position(3.62, 1.46, 4.10)/
Time : 09-02-18-27-51.8 //TaskState : Task1//User1 Position(4.82, 0.85, 3.14)/User2 Position(3.33, 0.83, 3.18)/User3 Position(3.62, 1.46, 4.10)/
Time : 09-02-18-27-51.9 //TaskState : Task1//User1 Position(4.84, 0.86, 3.13)/User2 Position(3.33, 0.83, 3.18)/User3 Position(3.61, 1.46, 4.10)/
Time : 09-02-18-27-52.0 //TaskState : Task1//User1 Position(4.86, 0.86, 3.13)/User2 Position(3.33, 0.83, 3.18)/User3 Position(3.61, 1.46, 4.10)/
Time : 09-02-18-27-52.1 //TaskState : Task1//User1 Position(4.87, 0.87, 3.13)/User2 Position(3.33, 0.83, 3.18)/User3 Position(3.61, 1.46, 4.10)/
Time : 09-02-18-27-52.2 //TaskState : Task1//User1 Position(4.88, 0.86, 3.13)/User2 Position(3.32, 0.83, 3.18)/User3 Position(3.61, 1.46, 4.10)/
Time : 09-02-18-27-52.4 //TaskState : Task1//User1 Position(4.89, 0.87, 3.12)/User2 Position(3.30, 0.83, 3.16)/User3 Position(3.61, 1.46, 4.10)/
Time : 09-02-18-27-52.5 //TaskState : Task1//User1 Position(4.89, 0.87, 3.12)/User2 Position(3.28, 0.83, 3.13)/User3 Position(3.61, 1.46, 4.10)/
Time : 09-02-18-27-52.6 //TaskState : Task1//User1 Position(4.90, 0.86, 3.12)/User2 Position(3.25, 0.84, 3.11)/User3 Position(3.61, 1.47, 4.10)/
Time : 09-02-18-27-52.7 //TaskState : Task1//User1 Position(4.90, 0.87, 3.12)/User2 Position(3.23, 0.84, 3.08)/User3 Position(3.61, 1.46, 4.10)/
Time : 09-02-18-27-52.8 //TaskState : Task1//User1 Position(4.90, 0.86, 3.11)/User2 Position(3.20, 0.85, 3.05)/User3 Position(3.61, 1.46, 4.10)/
Time : 09-02-18-27-52.9 //TaskState : Task1//User1 Position(4.90, 0.87, 3.11)/User2 Position(3.18, 0.85, 3.03)/User3 Position(3.60, 1.46, 4.10)/
Time : 09-02-18-27-53.0 //TaskState : Task1//User1 Position(4.91, 0.87, 3.10)/User2 Position(3.18, 0.85, 3.02)/User3 Position(3.60, 1.46, 4.10)/
Time : 09-02-18-27-53.1 //TaskState : Task1//User1 Position(4.91, 0.87, 3.10)/User2 Position(3.17, 0.85, 3.02)/User3 Position(3.60, 1.46, 4.11)/
Time : 09-02-18-27-53.2 //TaskState : Task1//User1 Position(4.92, 0.86, 3.11)/User2 Position(3.17, 0.85, 3.02)/User3 Position(3.60, 1.46, 4.12)/
Time : 09-02-18-27-53.4 //TaskState : Task1//User1 Position(4.92, 0.86, 3.11)/User2 Position(3.17, 0.85, 3.02)/User3 Position(3.59, 1.46, 4.13)/
Time : 09-02-18-27-53.5 //TaskState : Task1//User1 Position(4.92, 0.86, 3.12)/User2 Position(3.17, 0.85, 3.02)/User3 Position(3.59, 1.46, 4.14)/
Time : 09-02-18-27-53.6 //TaskState : Task1//User1 Position(4.92, 0.86, 3.12)/User2 Position(3.17, 0.85, 3.02)/User3 Position(3.59, 1.45, 4.14)/
Time : 09-02-18-27-53.7 //TaskState : Task1//User1 Position(4.92, 0.86, 3.12)/User2 Position(3.17, 0.85, 3.02)/User3 Position(3.59, 1.45, 4.15)/
Time : 09-02-18-27-53.8 //TaskState : Task1//User1 Position(4.92, 0.86, 3.12)/User2 Position(3.17, 0.85, 3.02)/User3 Position(3.59, 1.45, 4.15)/
Time : 09-02-18-27-53.9 //TaskState : Task1//User1 Position(4.92, 0.86, 3.13)/User2 Position(3.17, 0.85, 3.02)/User3 Position(3.59, 1.45, 4.15)/
Time : 09-02-18-27-54.0 //TaskState : Task1//User1 Position(4.90, 0.86, 3.14)/User2 Position(3.17, 0.85, 3.02)/User3 Position(3.59, 1.45, 4.15)/
Time : 09-02-18-27-54.1 //TaskState : Task1//User1 Position(4.89, 0.86, 3.14)/User2 Position(3.17, 0.85, 3.02)/User3 Position(3.59, 1.45, 4.15)/
Time : 09-02-18-27-54.2 //TaskState : Task1//User1 Position(4.88, 0.86, 3.14)/User2 Position(3.17, 0.85, 3.02)/User3 Position(3.59, 1.45, 4.15)/
Time : 09-02-18-27-54.3 //TaskState : Task1//User1 Position(4.88, 0.86, 3.14)/User2 Position(3.17, 0.85, 3.02)/User3 Position(3.59, 1.45, 4.15)/
Time : 09-02-18-27-54.4 //TaskState : Task1//User1 Position(4.88, 0.86, 3.14)/User2 Position(3.17, 0.85, 3.02)/User3 Position(3.59, 1.46, 4.15)/
Time : 09-02-18-27-54.6 //TaskState : Task1//User1 Position(4.87, 0.86, 3.14)/User2 Position(3.17, 0.85, 3.02)/User3 Position(3.59, 1.45, 4.15)/
Time : 09-02-18-27-54.7 //TaskState : Task1//User1 Position(4.87, 0.86, 3.13)/User2 Position(3.17, 0.85, 3.02)/User3 Position(3.59, 1.46, 4.15)/
Time : 09-02-18-27-54.8 //TaskState : Task1//User1 Position(4.87, 0.86, 3.13)/User2 Position(3.17, 0.85, 3.02)/User3 Position(3.59, 1.46, 4.15)/
Time : 09-02-18-27-54.9 //TaskState : Task1//User1 Position(4.87, 0.86, 3.13)/User2 Position(3.17, 0.85, 3.02)/User3 Position(3.59, 1.46, 4.15)/
Time : 09-02-18-27-55.0 //TaskState : Task1//User1 Position(4.87, 0.86, 3.13)/User2 Position(3.17, 0.85, 3.02)/User3 Position(3.59, 1.46, 4.15)/
Time : 09-02-18-27-55.1 //TaskState : Task1//User1 Position(4.87, 0.86, 3.13)/User2 Position(3.18, 0.82, 2.92)/User3 Position(3.59, 1.46, 4.15)/
Time : 09-02-18-27-55.2 //TaskState : Task1//User1 Position(4.87, 0.86, 3.13)/User2 Position(3.19, 0.83, 2.78)/User3 Position(3.59, 1.46, 4.15)/
Time : 09-02-18-27-55.3 //TaskState : Task1//User1 Position(4.87, 0.86, 3.13)/User2 Position(3.37, 1.11, 3.26)/User3 Position(3.59, 1.46, 4.15)/
Time : 09-02-18-27-55.4 //TaskState : Task1//User1 Position(4.87, 0.86, 3.13)/User2 Position(3.44, 1.16, 3.24)/User3 Position(3.58, 1.46, 4.15)/
Time : 09-02-18-27-55.6 //TaskState : Task1//User1 Position(4.87, 0.86, 3.13)/User2 Position(3.49, 1.18, 3.20)/User3 Position(3.58, 1.46, 4.15)/
Time : 09-02-18-27-55.7 //TaskState : Task1//User1 Position(4.87, 0.86, 3.13)/User2 Position(3.50, 1.18, 3.21)/User3 Position(3.58, 1.46, 4.16)/
Time : 09-02-18-27-55.8 //TaskState : Task1//User1 Position(4.87, 0.86, 3.13)/User2 Position(3.51, 1.16, 3.21)/User3 Position(3.58, 1.46, 4.16)/
Time : 09-02-18-27-55.9 //TaskState : Task1//User1 Position(4.87, 0.86, 3.13)/User2 Position(3.50, 1.16, 3.21)/User3 Position(3.58, 1.46, 4.16)/
Time : 09-02-18-27-56.0 //TaskState : Task1//User1 Position(4.87, 0.86, 3.13)/User2 Position(3.48, 1.15, 3.22)/User3 Position(3.58, 1.46, 4.16)/
Time : 09-02-18-27-56.1 //TaskState : Task1//User1 Position(4.87, 0.86, 3.13)/User2 Position(3.48, 1.15, 3.22)/User3 Position(3.58, 1.46, 4.16)/
Time : 09-02-18-27-56.2 //TaskState : Task1//User1 Position(4.87, 0.85, 3.14)/User2 Position(3.47, 1.15, 3.22)/User3 Position(3.58, 1.46, 4.16)/
Time : 09-02-18-27-56.3 //TaskState : Task1//User1 Position(4.88, 0.85, 3.14)/User2 Position(3.47, 1.13, 3.21)/User3 Position(3.58, 1.45, 4.16)/
Time : 09-02-18-27-56.5 //TaskState : Task1//User1 Position(4.87, 0.86, 3.13)/User2 Position(3.49, 1.05, 3.20)/User3 Position(3.58, 1.45, 4.16)/
Time : 09-02-18-27-56.6 //TaskState : Task1//User1 Position(4.87, 0.86, 3.13)/User2 Position(3.50, 1.10, 3.20)/User3 Position(3.58, 1.45, 4.16)/
Time : 09-02-18-27-56.7 //TaskState : Task1//User1 Position(4.88, 0.86, 3.13)/User2 Position(3.52, 1.13, 3.20)/User3 Position(3.58, 1.45, 4.16)/
Time : 09-02-18-27-56.8 //TaskState : Task1//User1 Position(4.88, 0.86, 3.13)/User2 Position(3.52, 1.14, 3.19)/User3 Position(3.58, 1.45, 4.16)/
Time : 09-02-18-27-56.9 //TaskState : Task1//User1 Position(4.87, 0.86, 3.13)/User2 Position(3.51, 1.14, 3.18)/User3 Position(3.58, 1.45, 4.16)/
Time : 09-02-18-27-57.0 //TaskState : Task1//User1 Position(4.68, 0.82, 3.29)/User2 Position(3.52, 1.13, 3.19)/User3 Position(3.58, 1.45, 4.16)/
Time : 09-02-18-27-57.1 //TaskState : Task1//User1 Position(4.47, 1.11, 3.54)/User2 Position(3.52, 1.13, 3.19)/User3 Position(3.58, 1.45, 4.16)/
Time : 09-02-18-27-57.2 //TaskState : Task1//User1 Position(4.46, 1.13, 3.57)/User2 Position(3.54, 1.14, 3.17)/User3 Position(3.58, 1.45, 4.16)/
Time : 09-02-18-27-57.3 //TaskState : Task1//User1 Position(4.47, 1.16, 3.59)/User2 Position(3.54, 1.06, 3.14)/User3 Position(3.58, 1.45, 4.16)/
Time : 09-02-18-27-57.5 //TaskState : Task1//User1 Position(4.49, 1.20, 3.60)/User2 Position(3.54, 1.09, 3.13)/User3 Position(3.58, 1.45, 4.16)/
Time : 09-02-18-27-57.6 //TaskState : Task1//User1 Position(4.49, 1.18, 3.61)/User2 Position(3.54, 1.11, 3.15)/User3 Position(3.58, 1.45, 4.16)/
Time : 09-02-18-27-57.7 //TaskState : Task1//User1 Position(4.48, 1.19, 3.60)/User2 Position(3.51, 1.19, 3.18)/User3 Position(3.58, 1.46, 4.16)/
Time : 09-02-18-27-57.8 //TaskState : Task1//User1 Position(4.47, 1.20, 3.60)/User2 Position(3.50, 1.02, 3.17)/User3 Position(3.57, 1.46, 4.16)/
Time : 09-02-18-27-57.9 //TaskState : Task1//User1 Position(4.48, 1.16, 3.62)/User2 Position(3.41, 0.84, 3.12)/User3 Position(3.57, 1.46, 4.16)/
Time : 09-02-18-27-58.0 //TaskState : Task1//User1 Position(4.48, 1.16, 3.62)/User2 Position(3.32, 0.75, 2.99)/User3 Position(3.57, 1.46, 4.16)/
Time : 09-02-18-27-58.1 //TaskState : Task1//User1 Position(4.46, 1.17, 3.62)/User2 Position(3.29, 0.78, 2.91)/User3 Position(3.56, 1.46, 4.15)/
Time : 09-02-18-27-58.2 //TaskState : Task1//User1 Position(4.47, 1.19, 3.63)/User2 Position(3.29, 0.80, 2.90)/User3 Position(3.56, 1.46, 4.15)/
Time : 09-02-18-27-58.3 //TaskState : Task1//User1 Position(4.45, 1.18, 3.62)/User2 Position(3.29, 0.79, 2.90)/User3 Position(3.55, 1.46, 4.14)/
Time : 09-02-18-27-58.5 //TaskState : Task1//User1 Position(4.44, 1.18, 3.61)/User2 Position(3.29, 0.79, 2.90)/User3 Position(3.55, 1.47, 4.14)/
Time : 09-02-18-27-58.6 //TaskState : Task1//User1 Position(4.47, 1.17, 3.61)/User2 Position(3.29, 0.79, 2.90)/User3 Position(3.54, 1.47, 4.13)/
Time : 09-02-18-27-58.7 //TaskState : Task1//User1 Position(4.48, 1.13, 3.62)/User2 Position(3.29, 0.79, 2.90)/User3 Position(3.54, 1.46, 4.13)/
Time : 09-02-18-27-58.8 //TaskState : Task1//User1 Position(4.48, 1.12, 3.61)/User2 Position(3.29, 0.79, 2.90)/User3 Position(3.54, 1.46, 4.14)/
Time : 09-02-18-27-58.9 //TaskState : Task1//User1 Position(4.46, 1.18, 3.57)/User2 Position(3.29, 0.79, 2.90)/User3 Position(3.54, 1.47, 4.14)/
