Time : 08-30-13-09-06.8 //TaskState : Task1//User1 Position(4.84, 0.00, 3.15)/User2 Position(1.94, 0.00, 3.65)/User3 Position(3.41, 1.59, 4.00)/
Time : 08-30-13-09-07.0 //TaskState : Task1//User1 Position(2.56, 1.32, 2.65)/User2 Position(1.94, 0.00, 3.65)/User3 Position(3.40, 1.59, 4.00)/
Time : 08-30-13-09-26.8 //TaskState : Task1//User1 Position(4.84, 0.00, 3.15)/User2 Position(1.94, 0.00, 3.65)/User3 Position(3.46, 1.59, 4.00)/
Time : 08-30-13-09-27.0 //TaskState : Task1//User1 Position(2.56, 1.32, 2.65)/User2 Position(1.94, 0.00, 3.65)/User3 Position(3.46, 1.59, 4.00)/
Time : 08-30-13-09-27.3 //TaskState : Task1//User1 Position(4.99, 0.86, 3.64)/User2 Position(2.49, 0.88, 2.33)/User3 Position(3.46, 1.59, 4.00)/
Time : 08-30-13-09-27.3 //TaskState : Task1//User1 Position(4.99, 0.86, 3.64)/User2 Position(2.53, 0.86, 2.31)/User3 Position(3.47, 1.59, 4.01)/
Time : 08-30-13-09-27.8 //TaskState : Task1//User1 Position(4.99, 0.86, 3.64)/User2 Position(2.53, 0.87, 2.31)/User3 Position(3.47, 1.59, 4.02)/
Time : 08-30-13-09-27.9 //TaskState : Task1//User1 Position(4.99, 0.86, 3.64)/User2 Position(2.63, 0.88, 2.31)/User3 Position(3.47, 1.59, 4.03)/
Time : 08-30-13-09-28.1 //TaskState : Task1//User1 Position(4.99, 0.86, 3.64)/User2 Position(2.63, 0.87, 2.31)/User3 Position(3.47, 1.59, 4.03)/
Time : 08-30-13-09-28.2 //TaskState : Task1//User1 Position(4.99, 0.86, 3.64)/User2 Position(2.62, 0.89, 2.31)/User3 Position(3.47, 1.59, 4.03)/
Time : 08-30-13-09-28.3 //TaskState : Task1//User1 Position(4.99, 0.86, 3.65)/User2 Position(2.62, 0.89, 2.31)/User3 Position(3.47, 1.59, 4.04)/
Time : 08-30-13-09-28.4 //TaskState : Task1//User1 Position(4.99, 0.86, 3.65)/User2 Position(2.62, 0.89, 2.31)/User3 Position(3.47, 1.59, 4.05)/
Time : 08-30-13-09-28.5 //TaskState : Task1//User1 Position(4.99, 0.86, 3.65)/User2 Position(2.62, 0.89, 2.31)/User3 Position(3.47, 1.59, 4.06)/
Time : 08-30-13-09-28.6 //TaskState : Task1//User1 Position(4.99, 0.86, 3.64)/User2 Position(2.62, 0.89, 2.31)/User3 Position(3.47, 1.59, 4.07)/
Time : 08-30-13-09-28.7 //TaskState : Task1//User1 Position(4.99, 0.86, 3.64)/User2 Position(2.62, 0.89, 2.31)/User3 Position(3.47, 1.59, 4.07)/
Time : 08-30-13-09-28.8 //TaskState : Task1//User1 Position(4.99, 0.86, 3.65)/User2 Position(2.62, 0.89, 2.31)/User3 Position(3.46, 1.59, 4.07)/
Time : 08-30-13-09-28.9 //TaskState : Task1//User1 Position(4.99, 0.86, 3.65)/User2 Position(2.62, 0.89, 2.31)/User3 Position(3.46, 1.59, 4.07)/
Time : 08-30-13-09-29.0 //TaskState : Task1//User1 Position(4.99, 0.86, 3.65)/User2 Position(2.62, 0.89, 2.31)/User3 Position(3.46, 1.59, 4.07)/
