Time : 08-30-11-05-08.0 //TaskState : Task1//User1 Position(4.84, 0.00, 3.15)/User2 Position(1.94, 0.00, 3.65)/User3 Position(3.54, 1.52, 4.29)/
Time : 08-30-11-05-08.2 //TaskState : Task1//User1 Position(2.51, 1.36, 1.04)/User2 Position(1.94, 0.00, 3.65)/User3 Position(3.53, 1.52, 4.28)/
Time : 08-30-11-05-08.3 //TaskState : Task1//User1 Position(5.00, 0.88, 3.31)/User2 Position(1.94, 0.00, 3.65)/User3 Position(3.52, 1.52, 4.28)/
Time : 08-30-11-05-08.5 //TaskState : Task1//User1 Position(5.00, 0.88, 3.31)/User2 Position(2.78, 0.85, 2.55)/User3 Position(3.50, 1.51, 4.28)/
Time : 08-30-11-05-08.6 //TaskState : Task1//User1 Position(5.01, 0.88, 3.31)/User2 Position(2.78, 0.85, 2.55)/User3 Position(3.49, 1.51, 4.29)/
Time : 08-30-11-05-09.2 //TaskState : Task1//User1 Position(5.01, 0.88, 3.31)/User2 Position(2.78, 0.85, 2.55)/User3 Position(3.48, 1.51, 4.30)/
Time : 08-30-11-05-09.3 //TaskState : Task1//User1 Position(5.01, 0.88, 3.31)/User2 Position(2.78, 0.85, 2.55)/User3 Position(3.50, 1.50, 4.28)/
Time : 08-30-11-05-09.4 //TaskState : Task1//User1 Position(5.01, 0.88, 3.31)/User2 Position(2.78, 0.83, 2.49)/User3 Position(3.50, 1.50, 4.28)/
Time : 08-30-11-05-09.5 //TaskState : Task1//User1 Position(5.01, 0.88, 3.31)/User2 Position(2.78, 0.83, 2.47)/User3 Position(3.51, 1.50, 4.27)/
Time : 08-30-11-05-09.6 //TaskState : Task1//User1 Position(5.01, 0.88, 3.31)/User2 Position(2.77, 0.82, 2.44)/User3 Position(3.51, 1.51, 4.26)/
Time : 08-30-11-05-09.7 //TaskState : Task1//User1 Position(5.01, 0.88, 3.31)/User2 Position(2.77, 0.82, 2.43)/User3 Position(3.51, 1.51, 4.26)/
Time : 08-30-11-05-09.8 //TaskState : Task1//User1 Position(5.01, 0.88, 3.31)/User2 Position(2.77, 0.81, 2.41)/User3 Position(3.51, 1.51, 4.26)/
Time : 08-30-11-05-09.9 //TaskState : Task1//User1 Position(5.01, 0.88, 3.31)/User2 Position(2.77, 0.81, 2.40)/User3 Position(3.51, 1.51, 4.27)/
Time : 08-30-11-05-10.0 //TaskState : Task1//User1 Position(5.01, 0.88, 3.31)/User2 Position(2.77, 0.81, 2.40)/User3 Position(3.51, 1.51, 4.27)/
Time : 08-30-11-05-10.1 //TaskState : Task1//User1 Position(5.01, 0.88, 3.31)/User2 Position(2.77, 0.81, 2.40)/User3 Position(3.51, 1.51, 4.27)/
