Time : 07-26-15-12-40.1 //TaskState : Task1//User1 Position(4.84, 0.00, 3.15)/User2 Position(1.94, 0.00, 3.65)/User3 Position(4.53, 1.62, 3.39)/
Time : 07-26-15-12-40.3 //TaskState : Task1//User1 Position(1.97, 1.38, 0.00)/User2 Position(1.94, 0.00, 3.65)/User3 Position(4.55, 1.61, 3.40)/
Time : 07-26-15-12-40.4 //TaskState : Task1//User1 Position(1.97, 1.38, 0.00)/User2 Position(0.80, 1.38, 0.00)/User3 Position(4.54, 1.60, 3.40)/
Time : 07-26-15-12-40.5 //TaskState : Task1//User1 Position(1.97, 1.38, 0.00)/User2 Position(0.80, 1.38, 0.00)/User3 Position(4.55, 1.59, 3.40)/
Time : 07-26-15-12-40.7 //TaskState : Task1//User1 Position(1.97, 1.38, 0.00)/User2 Position(0.80, 1.38, 0.00)/User3 Position(4.55, 1.59, 3.40)/
Time : 07-26-15-12-40.8 //TaskState : Task1//User1 Position(1.97, 1.38, 0.00)/User2 Position(0.80, 1.38, 0.00)/User3 Position(4.55, 1.59, 3.40)/
Time : 07-26-15-12-40.9 //TaskState : Task1//User1 Position(1.97, 1.38, 0.00)/User2 Position(0.80, 1.38, 0.00)/User3 Position(4.55, 1.59, 3.40)/
Time : 07-26-15-12-41.0 //TaskState : Task1//User1 Position(1.97, 1.38, 0.00)/User2 Position(0.80, 1.38, 0.00)/User3 Position(4.55, 1.59, 3.40)/
Time : 07-26-15-12-41.1 //TaskState : Task1//User1 Position(1.97, 1.38, 0.00)/User2 Position(0.80, 1.38, 0.00)/User3 Position(4.55, 1.59, 3.41)/
Time : 07-26-15-12-41.2 //TaskState : Task1//User1 Position(1.97, 1.38, 0.00)/User2 Position(0.80, 1.38, 0.00)/User3 Position(4.55, 1.60, 3.40)/
Time : 07-26-15-12-41.3 //TaskState : Task1//User1 Position(1.97, 1.38, 0.00)/User2 Position(0.80, 1.38, 0.00)/User3 Position(4.55, 1.60, 3.41)/
Time : 07-26-15-12-41.4 //TaskState : Task1//User1 Position(1.97, 1.38, 0.00)/User2 Position(0.80, 1.38, 0.00)/User3 Position(4.56, 1.60, 3.41)/
Time : 07-26-15-12-41.5 //TaskState : Task1//User1 Position(1.97, 1.38, 0.00)/User2 Position(0.80, 1.38, 0.00)/User3 Position(4.56, 1.60, 3.41)/
Time : 07-26-15-12-41.6 //TaskState : Task1//User1 Position(1.97, 1.38, 0.00)/User2 Position(0.80, 1.38, 0.00)/User3 Position(4.56, 1.60, 3.41)/
Time : 07-26-15-12-41.7 //TaskState : Task1//User1 Position(1.97, 1.38, 0.00)/User2 Position(0.80, 1.38, 0.00)/User3 Position(4.56, 1.60, 3.41)/
Time : 07-26-15-12-41.9 //TaskState : Task1//User1 Position(1.97, 1.38, 0.00)/User2 Position(0.80, 1.38, 0.00)/User3 Position(4.56, 1.61, 3.40)/
Time : 07-26-15-12-42.0 //TaskState : Task1//User1 Position(1.97, 1.38, 0.00)/User2 Position(0.80, 1.38, 0.00)/User3 Position(4.56, 1.61, 3.40)/
Time : 07-26-15-12-42.1 //TaskState : Task1//User1 Position(1.97, 1.38, 0.00)/User2 Position(0.80, 1.38, 0.00)/User3 Position(4.56, 1.61, 3.40)/
Time : 07-26-15-12-42.2 //TaskState : Task1//User1 Position(1.97, 1.38, 0.00)/User2 Position(0.80, 1.38, 0.00)/User3 Position(4.55, 1.61, 3.40)/
Time : 07-26-15-12-42.3 //TaskState : Task1//User1 Position(1.97, 1.38, 0.00)/User2 Position(0.80, 1.38, 0.00)/User3 Position(4.54, 1.60, 3.40)/
Time : 07-26-15-12-42.4 //TaskState : Task1//User1 Position(1.97, 1.38, 0.00)/User2 Position(0.80, 1.38, 0.00)/User3 Position(4.52, 1.58, 3.41)/
Time : 07-26-15-12-42.5 //TaskState : Task1//User1 Position(1.97, 1.38, 0.00)/User2 Position(0.80, 1.38, 0.00)/User3 Position(4.51, 1.58, 3.41)/
Time : 07-26-15-12-42.6 //TaskState : Task1//User1 Position(1.97, 1.38, 0.00)/User2 Position(0.80, 1.38, 0.00)/User3 Position(4.50, 1.57, 3.42)/
Time : 07-26-15-12-42.7 //TaskState : Task1//User1 Position(1.97, 1.38, 0.00)/User2 Position(0.80, 1.38, 0.00)/User3 Position(4.49, 1.55, 3.42)/
Time : 07-26-15-12-42.9 //TaskState : Task1//User1 Position(1.97, 1.38, 0.00)/User2 Position(0.80, 1.38, 0.00)/User3 Position(4.48, 1.53, 3.42)/
Time : 07-26-15-12-43.0 //TaskState : Task1//User1 Position(1.97, 1.38, 0.00)/User2 Position(0.80, 1.38, 0.00)/User3 Position(4.48, 1.53, 3.42)/
Time : 07-26-15-12-43.1 //TaskState : Task1//User1 Position(1.97, 1.38, 0.00)/User2 Position(0.80, 1.38, 0.00)/User3 Position(4.48, 1.54, 3.41)/
Time : 07-26-15-12-43.2 //TaskState : Task1//User1 Position(1.97, 1.38, 0.00)/User2 Position(0.80, 1.38, 0.00)/User3 Position(4.48, 1.54, 3.41)/
Time : 07-26-15-12-43.3 //TaskState : Task1//User1 Position(1.97, 1.38, 0.00)/User2 Position(0.80, 1.38, 0.00)/User3 Position(4.48, 1.54, 3.41)/
Time : 07-26-15-12-43.4 //TaskState : Task1//User1 Position(1.97, 1.38, 0.00)/User2 Position(0.80, 1.38, 0.00)/User3 Position(4.49, 1.54, 3.41)/
Time : 07-26-15-12-43.5 //TaskState : Task1//User1 Position(1.97, 1.38, 0.00)/User2 Position(0.80, 1.38, 0.00)/User3 Position(4.50, 1.55, 3.41)/
Time : 07-26-15-12-43.6 //TaskState : Task1//User1 Position(1.97, 1.38, 0.00)/User2 Position(0.80, 1.38, 0.00)/User3 Position(4.51, 1.55, 3.41)/
Time : 07-26-15-12-43.8 //TaskState : Task1//User1 Position(1.97, 1.38, 0.00)/User2 Position(0.80, 1.38, 0.00)/User3 Position(4.52, 1.56, 3.41)/
Time : 07-26-15-12-43.9 //TaskState : Task1//User1 Position(1.97, 1.38, 0.00)/User2 Position(0.80, 1.38, 0.00)/User3 Position(4.53, 1.56, 3.41)/
Time : 07-26-15-12-44.0 //TaskState : Task1//User1 Position(1.97, 1.38, 0.00)/User2 Position(0.80, 1.38, 0.00)/User3 Position(4.53, 1.56, 3.41)/
Time : 07-26-15-12-44.1 //TaskState : Task1//User1 Position(1.97, 1.38, 0.00)/User2 Position(0.80, 1.38, 0.00)/User3 Position(4.54, 1.57, 3.40)/
Time : 07-26-15-12-44.2 //TaskState : Task1//User1 Position(1.97, 1.38, 0.00)/User2 Position(0.80, 1.38, 0.00)/User3 Position(4.54, 1.57, 3.40)/
Time : 07-26-15-12-44.3 //TaskState : Task1//User1 Position(1.97, 1.38, 0.00)/User2 Position(0.80, 1.38, 0.00)/User3 Position(4.55, 1.57, 3.40)/
Time : 07-26-15-12-44.4 //TaskState : Task1//User1 Position(1.97, 1.38, 0.00)/User2 Position(0.80, 1.38, 0.00)/User3 Position(4.55, 1.57, 3.40)/
Time : 07-26-15-12-44.5 //TaskState : Task1//User1 Position(1.97, 1.38, 0.00)/User2 Position(0.80, 1.38, 0.00)/User3 Position(4.55, 1.57, 3.40)/
Time : 07-26-15-12-44.6 //TaskState : Task1//User1 Position(1.97, 1.38, 0.00)/User2 Position(0.80, 1.38, 0.00)/User3 Position(4.55, 1.57, 3.40)/
Time : 07-26-15-12-44.8 //TaskState : Task1//User1 Position(1.97, 1.38, 0.00)/User2 Position(0.80, 1.38, 0.00)/User3 Position(4.55, 1.58, 3.40)/
Time : 07-26-15-12-44.9 //TaskState : Task1//User1 Position(1.97, 1.38, 0.00)/User2 Position(0.80, 1.38, 0.00)/User3 Position(4.56, 1.58, 3.40)/
Time : 07-26-15-12-45.0 //TaskState : Task1//User1 Position(1.97, 1.38, 0.00)/User2 Position(0.80, 1.38, 0.00)/User3 Position(4.55, 1.58, 3.40)/
Time : 07-26-15-12-45.1 //TaskState : Task1//User1 Position(1.97, 1.38, 0.00)/User2 Position(0.80, 1.38, 0.00)/User3 Position(4.55, 1.58, 3.40)/
Time : 07-26-15-12-45.2 //TaskState : Task1//User1 Position(1.97, 1.38, 0.00)/User2 Position(0.80, 1.38, 0.00)/User3 Position(4.55, 1.58, 3.40)/
Time : 07-26-15-12-46.4 //TaskState : Task1//User1 Position(1.97, 1.38, 0.00)/User2 Position(0.80, 1.38, 0.00)/User3 Position(4.55, 1.58, 3.40)/
Time : 07-26-15-12-46.5 //TaskState : Task1//User1 Position(1.97, 1.38, 0.00)/User2 Position(0.80, 1.38, 0.00)/User3 Position(4.55, 1.58, 3.40)/
Time : 07-26-15-12-46.6 //TaskState : Task1//User1 Position(1.97, 1.38, 0.00)/User2 Position(0.80, 1.38, 0.00)/User3 Position(4.55, 1.58, 3.40)/
Time : 07-26-15-12-46.7 //TaskState : Task1//User1 Position(1.97, 1.38, 0.00)/User2 Position(0.80, 1.38, 0.00)/User3 Position(4.55, 1.58, 3.41)/
Time : 07-26-15-12-46.8 //TaskState : Task1//User1 Position(1.97, 1.38, 0.00)/User2 Position(0.13, 1.55, 0.00)/User3 Position(4.55, 1.58, 3.41)/
