Time : 08-09-17-07-18.3 //TaskState : Task1//User1 Position(4.84, 0.00, 3.15)/User2 Position(1.94, 0.00, 3.65)/User3 Position(4.03, 1.45, 4.28)/
Time : 08-09-17-07-18.4 //TaskState : Task1//User1 Position(1.89, 1.35, 1.15)/User2 Position(1.94, 0.00, 3.65)/User3 Position(4.02, 1.45, 4.28)/
Time : 08-09-17-07-18.5 //TaskState : Task1//User1 Position(4.70, 0.91, 3.44)/User2 Position(4.21, 0.77, 3.33)/User3 Position(4.02, 1.45, 4.29)/
Time : 08-09-17-07-18.8 //TaskState : Task1//User1 Position(4.70, 0.91, 3.44)/User2 Position(4.21, 0.77, 3.33)/User3 Position(4.01, 1.45, 4.29)/
Time : 08-09-17-07-18.9 //TaskState : Task1//User1 Position(4.70, 0.91, 3.44)/User2 Position(4.21, 0.77, 3.33)/User3 Position(4.02, 1.45, 4.28)/
Time : 08-09-17-07-19.4 //TaskState : Task1//User1 Position(4.70, 0.91, 3.44)/User2 Position(4.21, 0.77, 3.33)/User3 Position(4.02, 1.45, 4.28)/
Time : 08-09-17-07-19.4 //TaskState : Task1//User1 Position(4.70, 0.91, 3.44)/User2 Position(4.21, 0.77, 3.33)/User3 Position(4.03, 1.45, 4.27)/
Time : 08-09-17-07-19.6 //TaskState : Task1//User1 Position(4.72, 0.92, 3.43)/User2 Position(4.21, 0.77, 3.33)/User3 Position(4.04, 1.45, 4.26)/
Time : 08-09-17-07-19.7 //TaskState : Task1//User1 Position(4.72, 0.92, 3.43)/User2 Position(4.21, 0.77, 3.33)/User3 Position(4.05, 1.45, 4.26)/
Time : 08-09-17-07-19.8 //TaskState : Task1//User1 Position(4.63, 0.86, 3.45)/User2 Position(4.21, 0.77, 3.33)/User3 Position(4.06, 1.45, 4.26)/
Time : 08-09-17-07-19.9 //TaskState : Task1//User1 Position(4.64, 0.87, 3.45)/User2 Position(4.21, 0.77, 3.33)/User3 Position(4.07, 1.45, 4.26)/
Time : 08-09-17-07-20.0 //TaskState : Task1//User1 Position(4.63, 0.88, 3.46)/User2 Position(4.21, 0.77, 3.33)/User3 Position(4.09, 1.45, 4.26)/
Time : 08-09-17-07-20.1 //TaskState : Task1//User1 Position(4.63, 0.89, 3.46)/User2 Position(4.21, 0.77, 3.33)/User3 Position(4.10, 1.45, 4.26)/
Time : 08-09-17-07-20.2 //TaskState : Task1//User1 Position(4.63, 0.89, 3.46)/User2 Position(4.21, 0.77, 3.33)/User3 Position(4.11, 1.46, 4.27)/
Time : 08-09-17-07-20.3 //TaskState : Task1//User1 Position(4.63, 0.88, 3.46)/User2 Position(4.21, 0.77, 3.33)/User3 Position(4.11, 1.46, 4.27)/
Time : 08-09-17-07-20.4 //TaskState : Task1//User1 Position(4.62, 0.88, 3.46)/User2 Position(4.21, 0.77, 3.33)/User3 Position(4.12, 1.46, 4.27)/
Time : 08-09-17-07-20.6 //TaskState : Task1//User1 Position(4.62, 0.88, 3.46)/User2 Position(4.21, 0.77, 3.33)/User3 Position(4.13, 1.46, 4.28)/
Time : 08-09-17-07-20.7 //TaskState : Task1//User1 Position(4.62, 0.88, 3.46)/User2 Position(4.21, 0.77, 3.33)/User3 Position(4.14, 1.45, 4.29)/
Time : 08-09-17-07-20.8 //TaskState : Task1//User1 Position(4.62, 0.87, 3.47)/User2 Position(4.21, 0.77, 3.33)/User3 Position(4.15, 1.45, 4.30)/
Time : 08-09-17-07-20.9 //TaskState : Task1//User1 Position(4.62, 0.87, 3.47)/User2 Position(4.21, 0.77, 3.33)/User3 Position(4.17, 1.45, 4.32)/
