Time : 08-19-11-08-17.6 //TaskState : Task1//User1 Position(4.84, 0.00, 3.15)/User2 Position(1.94, 0.00, 3.65)/User3 Position(0.73, 0.10, 1.78)/
Time : 08-19-11-08-17.8 //TaskState : Task1//User1 Position(4.84, 0.00, 3.15)/User2 Position(1.94, 0.00, 3.65)/User3 Position(0.73, 0.10, 1.78)/
Time : 08-19-11-08-17.9 //TaskState : Task1//User1 Position(3.95, 0.82, 3.69)/User2 Position(2.37, 1.35, 4.56)/User3 Position(0.73, 0.10, 1.78)/
Time : 08-19-11-08-18.1 //TaskState : Task1//User1 Position(3.95, 0.82, 3.69)/User2 Position(4.23, 0.80, 4.35)/User3 Position(0.73, 0.10, 1.78)/
Time : 08-19-11-08-18.6 //TaskState : Task1//User1 Position(3.95, 0.82, 3.69)/User2 Position(4.23, 0.80, 4.35)/User3 Position(0.73, 0.10, 1.78)/
Time : 08-19-11-08-18.7 //TaskState : Task1//User1 Position(3.95, 0.82, 3.69)/User2 Position(4.23, 0.80, 4.35)/User3 Position(0.73, 0.10, 1.78)/
Time : 08-19-11-08-18.9 //TaskState : Task1//User1 Position(3.95, 0.82, 3.69)/User2 Position(4.23, 0.80, 4.35)/User3 Position(0.73, 0.10, 1.78)/
Time : 08-19-11-08-19.0 //TaskState : Task1//User1 Position(3.95, 0.82, 3.69)/User2 Position(4.23, 0.80, 4.35)/User3 Position(0.73, 0.10, 1.78)/
Time : 08-19-11-08-19.1 //TaskState : Task1//User1 Position(3.95, 0.82, 3.69)/User2 Position(4.23, 0.80, 4.35)/User3 Position(0.73, 0.10, 1.78)/
Time : 08-19-11-08-19.2 //TaskState : Task1//User1 Position(3.95, 0.82, 3.69)/User2 Position(4.23, 0.80, 4.35)/User3 Position(0.73, 0.10, 1.78)/
Time : 08-19-11-08-19.3 //TaskState : Task1//User1 Position(3.96, 0.82, 3.70)/User2 Position(4.23, 0.80, 4.35)/User3 Position(0.73, 0.10, 1.78)/
Time : 08-19-11-08-19.4 //TaskState : Task1//User1 Position(3.96, 0.82, 3.70)/User2 Position(4.23, 0.80, 4.35)/User3 Position(0.73, 0.10, 1.78)/
Time : 08-19-11-08-19.5 //TaskState : Task1//User1 Position(3.96, 0.82, 3.70)/User2 Position(4.23, 0.80, 4.35)/User3 Position(0.73, 0.10, 1.78)/
Time : 08-19-11-08-19.6 //TaskState : Task1//User1 Position(3.96, 0.82, 3.69)/User2 Position(4.23, 0.80, 4.35)/User3 Position(0.73, 0.10, 1.78)/
Time : 08-19-11-08-19.7 //TaskState : Task1//User1 Position(3.96, 0.82, 3.69)/User2 Position(4.23, 0.80, 4.35)/User3 Position(0.73, 0.10, 1.78)/
Time : 08-19-11-08-19.8 //TaskState : Task1//User1 Position(3.96, 0.82, 3.69)/User2 Position(4.23, 0.80, 4.35)/User3 Position(0.73, 0.10, 1.78)/
Time : 08-19-11-08-19.9 //TaskState : Task1//User1 Position(3.96, 0.82, 3.69)/User2 Position(4.23, 0.80, 4.35)/User3 Position(0.73, 0.10, 1.78)/
Time : 08-19-11-08-20.0 //TaskState : Task1//User1 Position(3.96, 0.82, 3.70)/User2 Position(4.23, 0.80, 4.35)/User3 Position(0.73, 0.10, 1.78)/
Time : 08-19-11-08-20.1 //TaskState : Task1//User1 Position(3.96, 0.82, 3.70)/User2 Position(4.23, 0.80, 4.35)/User3 Position(0.73, 0.10, 1.78)/
Time : 08-19-11-08-20.2 //TaskState : Task1//User1 Position(3.96, 0.82, 3.69)/User2 Position(4.23, 0.80, 4.35)/User3 Position(0.73, 0.10, 1.78)/
Time : 08-19-11-08-20.3 //TaskState : Task1//User1 Position(3.96, 0.82, 3.70)/User2 Position(4.23, 0.80, 4.35)/User3 Position(0.73, 0.10, 1.78)/
Time : 08-19-11-08-20.4 //TaskState : Task1//User1 Position(3.97, 0.82, 3.70)/User2 Position(4.23, 0.80, 4.35)/User3 Position(0.73, 0.10, 1.78)/
Time : 08-19-11-08-20.6 //TaskState : Task1//User1 Position(3.97, 0.82, 3.70)/User2 Position(4.23, 0.80, 4.35)/User3 Position(0.73, 0.10, 1.78)/
Time : 08-19-11-08-20.7 //TaskState : Task1//User1 Position(3.97, 0.82, 3.70)/User2 Position(4.23, 0.80, 4.35)/User3 Position(0.73, 0.10, 1.78)/
Time : 08-19-11-08-20.8 //TaskState : Task1//User1 Position(3.97, 0.82, 3.70)/User2 Position(4.23, 0.80, 4.35)/User3 Position(0.73, 0.10, 1.78)/
Time : 08-19-11-08-20.9 //TaskState : Task1//User1 Position(3.98, 0.82, 3.71)/User2 Position(4.23, 0.80, 4.35)/User3 Position(0.73, 0.10, 1.78)/
Time : 08-19-11-08-21.0 //TaskState : Task1//User1 Position(3.98, 0.82, 3.71)/User2 Position(4.23, 0.80, 4.35)/User3 Position(0.73, 0.10, 1.78)/
Time : 08-19-11-08-21.1 //TaskState : Task1//User1 Position(3.98, 0.82, 3.71)/User2 Position(4.23, 0.80, 4.35)/User3 Position(0.73, 0.10, 1.78)/
Time : 08-19-11-08-21.2 //TaskState : Task1//User1 Position(3.98, 0.82, 3.71)/User2 Position(4.23, 0.80, 4.35)/User3 Position(0.73, 0.10, 1.78)/
Time : 08-19-11-08-21.3 //TaskState : Task1//User1 Position(3.98, 0.82, 3.71)/User2 Position(4.23, 0.80, 4.35)/User3 Position(0.73, 0.10, 1.78)/
Time : 08-19-11-08-21.4 //TaskState : Task1//User1 Position(3.98, 0.82, 3.71)/User2 Position(4.23, 0.80, 4.35)/User3 Position(0.73, 0.10, 1.78)/
Time : 08-19-11-08-21.5 //TaskState : Task1//User1 Position(3.99, 0.82, 3.72)/User2 Position(4.23, 0.80, 4.35)/User3 Position(0.73, 0.10, 1.78)/
