Time : 08-09-17-03-57.7 //TaskState : Task1//User1 Position(4.84, 0.00, 3.15)/User2 Position(1.94, 0.00, 3.65)/User3 Position(4.28, 1.47, 4.22)/
Time : 08-09-17-03-57.9 //TaskState : Task1//User1 Position(4.84, 0.00, 3.15)/User2 Position(1.94, 0.00, 3.65)/User3 Position(4.27, 1.46, 4.22)/
Time : 08-09-17-03-58.0 //TaskState : Task1//User1 Position(3.38, 0.92, 2.31)/User2 Position(1.94, 0.00, 3.65)/User3 Position(4.26, 1.46, 4.22)/
Time : 08-09-17-03-58.2 //TaskState : Task1//User1 Position(3.40, 0.94, 2.33)/User2 Position(3.29, 0.77, 4.97)/User3 Position(4.25, 1.45, 4.22)/
Time : 08-09-17-03-58.3 //TaskState : Task1//User1 Position(3.40, 0.94, 2.33)/User2 Position(3.29, 0.77, 4.97)/User3 Position(4.23, 1.44, 4.22)/
Time : 08-09-17-03-58.8 //TaskState : Task1//User1 Position(3.40, 0.94, 2.33)/User2 Position(3.29, 0.77, 4.97)/User3 Position(4.23, 1.44, 4.22)/
Time : 08-09-17-03-58.9 //TaskState : Task1//User1 Position(3.40, 0.94, 2.33)/User2 Position(3.29, 0.77, 4.97)/User3 Position(4.26, 1.43, 4.22)/
Time : 08-09-17-03-59.0 //TaskState : Task1//User1 Position(3.40, 0.94, 2.33)/User2 Position(3.29, 0.77, 4.97)/User3 Position(4.26, 1.43, 4.22)/
Time : 08-09-17-03-59.1 //TaskState : Task1//User1 Position(3.40, 0.94, 2.33)/User2 Position(3.29, 0.77, 4.97)/User3 Position(4.27, 1.42, 4.22)/
Time : 08-09-17-03-59.2 //TaskState : Task1//User1 Position(3.40, 0.94, 2.33)/User2 Position(3.29, 0.77, 4.97)/User3 Position(4.28, 1.42, 4.22)/
Time : 08-09-17-03-59.3 //TaskState : Task1//User1 Position(3.40, 0.94, 2.33)/User2 Position(3.29, 0.77, 4.97)/User3 Position(4.28, 1.42, 4.22)/
Time : 08-09-17-03-59.5 //TaskState : Task1//User1 Position(3.40, 0.94, 2.33)/User2 Position(3.29, 0.77, 4.97)/User3 Position(4.29, 1.42, 4.23)/
