Time : 07-26-15-17-00.1 //TaskState : Task1//User1 Position(4.84, 0.00, 3.15)/User2 Position(1.94, 0.00, 3.65)/User3 Position(5.09, 0.78, 4.43)/
Time : 07-26-15-17-00.3 //TaskState : Task1//User1 Position(4.84, 0.00, 3.15)/User2 Position(1.94, 0.00, 3.65)/User3 Position(5.10, 0.78, 4.43)/
Time : 07-26-15-17-00.3 //TaskState : Task1//User1 Position(4.28, 1.38, 0.00)/User2 Position(1.94, 0.00, 3.65)/User3 Position(5.10, 0.78, 4.43)/
Time : 07-26-15-17-00.6 //TaskState : Task1//User1 Position(4.28, 1.38, 0.00)/User2 Position(1.94, 0.00, 3.65)/User3 Position(5.10, 0.78, 4.43)/
Time : 07-26-15-17-01.1 //TaskState : Task1//User1 Position(4.28, 1.37, 0.00)/User2 Position(4.63, 1.38, 2.24)/User3 Position(5.10, 0.78, 4.43)/
Time : 07-26-15-17-01.2 //TaskState : Task1//User1 Position(4.28, 1.37, 0.00)/User2 Position(4.63, 1.38, 2.24)/User3 Position(5.10, 0.78, 4.43)/
Time : 07-26-15-17-01.3 //TaskState : Task1//User1 Position(4.28, 1.37, 0.00)/User2 Position(4.63, 1.38, 2.24)/User3 Position(5.10, 0.78, 4.43)/
Time : 07-26-15-17-01.4 //TaskState : Task1//User1 Position(4.28, 1.37, 0.00)/User2 Position(4.63, 1.38, 2.24)/User3 Position(5.10, 0.78, 4.43)/
Time : 07-26-15-17-01.5 //TaskState : Task1//User1 Position(4.28, 1.37, 0.00)/User2 Position(4.63, 1.38, 2.24)/User3 Position(5.10, 0.78, 4.43)/
Time : 07-26-15-17-01.6 //TaskState : Task1//User1 Position(4.28, 1.37, 0.00)/User2 Position(4.63, 1.38, 2.24)/User3 Position(5.10, 0.78, 4.43)/
Time : 07-26-15-17-01.7 //TaskState : Task1//User1 Position(4.28, 1.37, 0.00)/User2 Position(4.63, 1.38, 2.24)/User3 Position(5.10, 0.78, 4.43)/
Time : 07-26-15-17-01.8 //TaskState : Task1//User1 Position(4.28, 1.37, 0.00)/User2 Position(4.63, 1.38, 2.24)/User3 Position(5.10, 0.78, 4.43)/
Time : 07-26-15-17-01.9 //TaskState : Task1//User1 Position(4.28, 1.37, 0.00)/User2 Position(4.63, 1.38, 2.24)/User3 Position(5.10, 0.78, 4.43)/
