Time : 07-23-20-36-39.6 //TaskState : Task1//User1 Position(4.84, 0.00, 3.15)/User2 Position(1.94, 0.00, 3.65)/User3 Position(4.35, 1.64, 3.27)/
Time : 07-23-20-36-39.8 //TaskState : Task1//User1 Position(5.44, 1.38, 2.23)/User2 Position(1.94, 0.00, 3.65)/User3 Position(4.35, 1.63, 3.27)/
Time : 07-23-20-36-40.1 //TaskState : Task1//User1 Position(5.44, 1.38, 2.23)/User2 Position(3.13, 0.95, 2.28)/User3 Position(4.36, 1.62, 3.26)/
Time : 07-23-20-36-40.2 //TaskState : Task1//User1 Position(5.44, 1.38, 2.23)/User2 Position(3.08, 0.97, 2.18)/User3 Position(4.37, 1.62, 3.24)/
Time : 07-23-20-36-40.7 //TaskState : Task1//User1 Position(5.44, 1.38, 2.23)/User2 Position(3.07, 0.97, 2.18)/User3 Position(4.37, 1.62, 3.24)/
Time : 07-23-20-36-40.8 //TaskState : Task1//User1 Position(5.44, 1.38, 2.23)/User2 Position(2.85, 0.98, 2.24)/User3 Position(4.36, 1.62, 3.24)/
Time : 07-23-20-36-40.9 //TaskState : Task1//User1 Position(5.44, 1.38, 2.23)/User2 Position(2.78, 0.97, 2.28)/User3 Position(4.36, 1.62, 3.24)/
Time : 07-23-20-36-41.0 //TaskState : Task1//User1 Position(5.44, 1.38, 2.23)/User2 Position(2.72, 0.97, 2.30)/User3 Position(4.36, 1.62, 3.24)/
Time : 07-23-20-36-41.1 //TaskState : Task1//User1 Position(5.44, 1.38, 2.23)/User2 Position(2.68, 0.98, 2.32)/User3 Position(4.36, 1.62, 3.24)/
Time : 07-23-20-36-41.2 //TaskState : Task1//User1 Position(5.44, 1.38, 2.23)/User2 Position(2.64, 0.98, 2.34)/User3 Position(4.36, 1.62, 3.25)/
Time : 07-23-20-36-41.3 //TaskState : Task1//User1 Position(5.44, 1.37, 2.23)/User2 Position(2.62, 0.98, 2.36)/User3 Position(4.36, 1.61, 3.25)/
Time : 07-23-20-36-41.4 //TaskState : Task1//User1 Position(5.44, 1.37, 2.23)/User2 Position(2.60, 0.98, 2.38)/User3 Position(4.36, 1.61, 3.25)/
Time : 07-23-20-36-41.5 //TaskState : Task1//User1 Position(5.44, 1.37, 2.23)/User2 Position(2.60, 0.97, 2.40)/User3 Position(4.36, 1.61, 3.25)/
Time : 07-23-20-36-41.6 //TaskState : Task1//User1 Position(5.44, 1.37, 2.23)/User2 Position(2.61, 0.98, 2.43)/User3 Position(4.36, 1.61, 3.25)/
Time : 07-23-20-36-41.7 //TaskState : Task1//User1 Position(5.44, 1.37, 2.23)/User2 Position(2.63, 0.97, 2.46)/User3 Position(4.36, 1.62, 3.25)/
