Time : 08-26-19-36-31.8 //TaskState : Task1//User1 Position(4.84, 0.00, 3.15)/User2 Position(1.94, 0.00, 3.65)/User3 Position(3.92, 1.58, 4.20)/
Time : 08-26-19-37-00.6 //TaskState : Task1//User1 Position(4.84, 0.00, 3.15)/User2 Position(1.94, 0.00, 3.65)/User3 Position(3.93, 1.60, 4.21)/
Time : 08-26-19-37-00.7 //TaskState : Task1//User1 Position(2.40, 1.35, 1.05)/User2 Position(1.94, 0.00, 3.65)/User3 Position(3.93, 1.60, 4.21)/
Time : 08-26-19-37-01.0 //TaskState : Task1//User1 Position(4.08, 0.86, 2.88)/User2 Position(4.13, 0.85, 4.88)/User3 Position(3.93, 1.60, 4.20)/
Time : 08-26-19-37-01.2 //TaskState : Task1//User1 Position(4.08, 0.86, 2.88)/User2 Position(4.13, 0.85, 4.88)/User3 Position(3.93, 1.60, 4.20)/
Time : 08-26-19-37-01.6 //TaskState : Task1//User1 Position(4.08, 0.86, 2.88)/User2 Position(4.13, 0.85, 4.88)/User3 Position(3.93, 1.60, 4.20)/
Time : 08-26-19-37-01.7 //TaskState : Task1//User1 Position(4.08, 0.86, 2.88)/User2 Position(4.13, 0.85, 4.88)/User3 Position(3.93, 1.60, 4.20)/
Time : 08-26-19-37-01.8 //TaskState : Task1//User1 Position(4.08, 0.86, 2.88)/User2 Position(4.13, 0.85, 4.88)/User3 Position(3.93, 1.60, 4.20)/
Time : 08-26-19-37-01.9 //TaskState : Task1//User1 Position(4.08, 0.86, 2.88)/User2 Position(4.13, 0.85, 4.88)/User3 Position(3.93, 1.60, 4.20)/
Time : 08-26-19-37-02.0 //TaskState : Task1//User1 Position(4.08, 0.86, 2.88)/User2 Position(4.13, 0.85, 4.88)/User3 Position(3.93, 1.60, 4.20)/
Time : 08-26-19-37-02.1 //TaskState : Task1//User1 Position(4.08, 0.86, 2.88)/User2 Position(4.13, 0.85, 4.88)/User3 Position(3.93, 1.60, 4.20)/
Time : 08-26-19-37-02.2 //TaskState : Task1//User1 Position(4.08, 0.86, 2.88)/User2 Position(4.13, 0.85, 4.88)/User3 Position(3.93, 1.60, 4.20)/
Time : 08-26-19-37-02.4 //TaskState : Task1//User1 Position(4.08, 0.86, 2.88)/User2 Position(4.13, 0.85, 4.88)/User3 Position(3.93, 1.60, 4.21)/
Time : 08-26-19-37-02.5 //TaskState : Task1//User1 Position(4.08, 0.86, 2.88)/User2 Position(4.13, 0.85, 4.88)/User3 Position(3.93, 1.60, 4.21)/
Time : 08-26-19-37-02.6 //TaskState : Task1//User1 Position(4.08, 0.86, 2.88)/User2 Position(4.13, 0.85, 4.88)/User3 Position(3.93, 1.60, 4.21)/
Time : 08-26-19-37-02.7 //TaskState : Task1//User1 Position(4.08, 0.86, 2.88)/User2 Position(4.13, 0.85, 4.88)/User3 Position(3.93, 1.60, 4.21)/
Time : 08-26-19-37-02.8 //TaskState : Task1//User1 Position(4.08, 0.86, 2.88)/User2 Position(4.13, 0.85, 4.88)/User3 Position(3.93, 1.60, 4.21)/
Time : 08-26-19-37-02.9 //TaskState : Task1//User1 Position(4.08, 0.86, 2.88)/User2 Position(4.13, 0.85, 4.88)/User3 Position(3.93, 1.60, 4.21)/
Time : 08-26-19-37-03.0 //TaskState : Task1//User1 Position(4.08, 0.86, 2.88)/User2 Position(4.13, 0.85, 4.88)/User3 Position(3.93, 1.60, 4.21)/
Time : 08-26-19-37-03.1 //TaskState : Task1//User1 Position(4.08, 0.86, 2.88)/User2 Position(4.13, 0.85, 4.88)/User3 Position(3.93, 1.60, 4.21)/
Time : 08-26-19-37-03.3 //TaskState : Task1//User1 Position(4.08, 0.86, 2.88)/User2 Position(4.13, 0.85, 4.88)/User3 Position(3.93, 1.60, 4.21)/
Time : 08-26-19-37-03.4 //TaskState : Task1//User1 Position(4.08, 0.86, 2.88)/User2 Position(4.13, 0.85, 4.88)/User3 Position(3.93, 1.60, 4.21)/
Time : 08-26-19-37-03.5 //TaskState : Task1//User1 Position(4.08, 0.86, 2.88)/User2 Position(4.13, 0.85, 4.88)/User3 Position(3.93, 1.60, 4.21)/
Time : 08-26-19-37-03.6 //TaskState : Task1//User1 Position(4.08, 0.86, 2.88)/User2 Position(4.13, 0.85, 4.88)/User3 Position(3.93, 1.60, 4.21)/
Time : 08-26-19-37-03.7 //TaskState : Task1//User1 Position(4.08, 0.86, 2.88)/User2 Position(4.13, 0.85, 4.88)/User3 Position(3.93, 1.60, 4.21)/
Time : 08-26-19-37-03.8 //TaskState : Task1//User1 Position(4.08, 0.86, 2.88)/User2 Position(4.13, 0.85, 4.88)/User3 Position(3.93, 1.60, 4.20)/
Time : 08-26-19-37-03.9 //TaskState : Task1//User1 Position(4.08, 0.86, 2.88)/User2 Position(4.13, 0.85, 4.88)/User3 Position(3.93, 1.60, 4.20)/
Time : 08-26-19-37-04.0 //TaskState : Task1//User1 Position(4.08, 0.86, 2.88)/User2 Position(4.13, 0.85, 4.88)/User3 Position(3.93, 1.60, 4.20)/
Time : 08-26-19-37-04.1 //TaskState : Task1//User1 Position(4.08, 0.86, 2.88)/User2 Position(4.13, 0.85, 4.88)/User3 Position(3.93, 1.60, 4.20)/
Time : 08-26-19-37-04.3 //TaskState : Task1//User1 Position(4.08, 0.86, 2.88)/User2 Position(4.13, 0.85, 4.88)/User3 Position(3.93, 1.60, 4.20)/
Time : 08-26-19-37-04.4 //TaskState : Task1//User1 Position(4.08, 0.86, 2.88)/User2 Position(4.13, 0.85, 4.88)/User3 Position(3.93, 1.60, 4.20)/
Time : 08-26-19-37-04.5 //TaskState : Task1//User1 Position(4.08, 0.86, 2.88)/User2 Position(4.13, 0.85, 4.88)/User3 Position(3.93, 1.60, 4.20)/
Time : 08-26-19-37-04.6 //TaskState : Task1//User1 Position(4.08, 0.86, 2.88)/User2 Position(4.13, 0.85, 4.88)/User3 Position(3.93, 1.60, 4.20)/
Time : 08-26-19-37-04.7 //TaskState : Task1//User1 Position(4.08, 0.86, 2.88)/User2 Position(4.13, 0.85, 4.88)/User3 Position(3.94, 1.59, 4.20)/
Time : 08-26-19-37-04.8 //TaskState : Task1//User1 Position(4.08, 0.86, 2.88)/User2 Position(4.13, 0.85, 4.88)/User3 Position(3.95, 1.58, 4.19)/
Time : 08-26-19-37-04.9 //TaskState : Task1//User1 Position(4.08, 0.86, 2.88)/User2 Position(4.13, 0.85, 4.88)/User3 Position(3.97, 1.58, 4.19)/
Time : 08-26-19-37-05.0 //TaskState : Task1//User1 Position(4.08, 0.86, 2.88)/User2 Position(4.13, 0.85, 4.88)/User3 Position(3.97, 1.58, 4.19)/
Time : 08-26-19-37-05.2 //TaskState : Task1//User1 Position(4.08, 0.86, 2.88)/User2 Position(4.13, 0.85, 4.88)/User3 Position(3.98, 1.58, 4.19)/
Time : 08-26-19-37-05.3 //TaskState : Task1//User1 Position(4.08, 0.86, 2.88)/User2 Position(4.13, 0.85, 4.88)/User3 Position(3.98, 1.58, 4.19)/
Time : 08-26-19-37-05.4 //TaskState : Task1//User1 Position(4.08, 0.86, 2.88)/User2 Position(4.13, 0.85, 4.88)/User3 Position(3.98, 1.58, 4.19)/
Time : 08-26-19-37-05.5 //TaskState : Task1//User1 Position(4.08, 0.86, 2.88)/User2 Position(4.13, 0.85, 4.88)/User3 Position(3.97, 1.58, 4.19)/
Time : 08-26-19-37-05.6 //TaskState : Task1//User1 Position(4.08, 0.86, 2.88)/User2 Position(4.13, 0.85, 4.88)/User3 Position(3.96, 1.58, 4.19)/
Time : 08-26-19-37-05.7 //TaskState : Task1//User1 Position(4.08, 0.86, 2.88)/User2 Position(4.13, 0.85, 4.88)/User3 Position(3.94, 1.59, 4.19)/
Time : 08-26-19-37-05.8 //TaskState : Task1//User1 Position(4.08, 0.86, 2.88)/User2 Position(4.13, 0.85, 4.88)/User3 Position(3.92, 1.59, 4.19)/
Time : 08-26-19-37-05.9 //TaskState : Task1//User1 Position(4.08, 0.86, 2.88)/User2 Position(4.13, 0.85, 4.88)/User3 Position(3.92, 1.59, 4.20)/
Time : 08-26-19-37-06.0 //TaskState : Task1//User1 Position(4.08, 0.86, 2.88)/User2 Position(4.13, 0.85, 4.88)/User3 Position(3.91, 1.59, 4.20)/
Time : 08-26-19-37-06.2 //TaskState : Task1//User1 Position(4.08, 0.86, 2.88)/User2 Position(4.13, 0.85, 4.88)/User3 Position(3.91, 1.59, 4.20)/
Time : 08-26-19-37-06.3 //TaskState : Task1//User1 Position(4.08, 0.86, 2.88)/User2 Position(4.13, 0.85, 4.88)/User3 Position(3.92, 1.59, 4.21)/
Time : 08-26-19-37-06.4 //TaskState : Task1//User1 Position(4.08, 0.86, 2.88)/User2 Position(4.13, 0.85, 4.88)/User3 Position(3.92, 1.58, 4.20)/
Time : 08-26-19-37-06.5 //TaskState : Task1//User1 Position(4.08, 0.86, 2.88)/User2 Position(4.13, 0.85, 4.88)/User3 Position(3.93, 1.58, 4.20)/
Time : 08-26-19-37-06.6 //TaskState : Task1//User1 Position(4.08, 0.86, 2.88)/User2 Position(4.13, 0.85, 4.88)/User3 Position(3.94, 1.57, 4.20)/
Time : 08-26-19-37-06.7 //TaskState : Task1//User1 Position(4.08, 0.86, 2.88)/User2 Position(4.13, 0.85, 4.88)/User3 Position(3.95, 1.57, 4.21)/
Time : 08-26-19-37-06.8 //TaskState : Task1//User1 Position(4.08, 0.86, 2.88)/User2 Position(4.13, 0.85, 4.88)/User3 Position(3.95, 1.56, 4.22)/
Time : 08-26-19-37-06.9 //TaskState : Task1//User1 Position(4.08, 0.86, 2.88)/User2 Position(4.13, 0.85, 4.88)/User3 Position(3.95, 1.56, 4.22)/
Time : 08-26-19-37-07.0 //TaskState : Task1//User1 Position(4.08, 0.86, 2.88)/User2 Position(4.13, 0.85, 4.88)/User3 Position(3.95, 1.55, 4.22)/
Time : 08-26-19-37-07.2 //TaskState : Task1//User1 Position(4.08, 0.86, 2.88)/User2 Position(4.13, 0.85, 4.88)/User3 Position(3.95, 1.55, 4.22)/
Time : 08-26-19-37-07.3 //TaskState : Task1//User1 Position(4.08, 0.86, 2.88)/User2 Position(4.13, 0.85, 4.88)/User3 Position(3.95, 1.55, 4.22)/
Time : 08-26-19-37-07.4 //TaskState : Task1//User1 Position(4.08, 0.86, 2.88)/User2 Position(4.30, 0.79, 5.00)/User3 Position(3.95, 1.55, 4.22)/
Time : 08-26-19-37-07.5 //TaskState : Task1//User1 Position(4.08, 0.86, 2.88)/User2 Position(4.42, 0.81, 5.03)/User3 Position(3.95, 1.55, 4.23)/
Time : 08-26-19-37-07.6 //TaskState : Task1//User1 Position(4.08, 0.86, 2.88)/User2 Position(4.48, 0.81, 5.00)/User3 Position(3.95, 1.55, 4.23)/
Time : 08-26-19-37-07.7 //TaskState : Task1//User1 Position(4.08, 0.86, 2.88)/User2 Position(4.52, 0.81, 4.98)/User3 Position(3.95, 1.54, 4.23)/
Time : 08-26-19-37-07.8 //TaskState : Task1//User1 Position(4.08, 0.86, 2.88)/User2 Position(4.57, 0.81, 4.95)/User3 Position(3.96, 1.53, 4.23)/
Time : 08-26-19-37-07.9 //TaskState : Task1//User1 Position(4.08, 0.86, 2.88)/User2 Position(4.60, 0.81, 4.93)/User3 Position(3.96, 1.53, 4.24)/
Time : 08-26-19-37-08.0 //TaskState : Task1//User1 Position(4.08, 0.86, 2.88)/User2 Position(4.63, 0.82, 4.90)/User3 Position(3.97, 1.53, 4.24)/
Time : 08-26-19-37-08.2 //TaskState : Task1//User1 Position(4.08, 0.86, 2.88)/User2 Position(4.65, 0.82, 4.87)/User3 Position(3.97, 1.53, 4.24)/
Time : 08-26-19-37-08.3 //TaskState : Task1//User1 Position(4.08, 0.86, 2.88)/User2 Position(4.66, 0.82, 4.84)/User3 Position(3.97, 1.53, 4.25)/
Time : 08-26-19-37-08.4 //TaskState : Task1//User1 Position(4.08, 0.86, 2.88)/User2 Position(4.66, 0.83, 4.81)/User3 Position(3.97, 1.53, 4.24)/
Time : 08-26-19-37-08.5 //TaskState : Task1//User1 Position(4.08, 0.86, 2.88)/User2 Position(4.65, 0.83, 4.79)/User3 Position(3.96, 1.54, 4.24)/
Time : 08-26-19-37-08.6 //TaskState : Task1//User1 Position(4.08, 0.86, 2.88)/User2 Position(4.65, 0.83, 4.77)/User3 Position(3.96, 1.54, 4.25)/
Time : 08-26-19-37-08.7 //TaskState : Task1//User1 Position(4.08, 0.86, 2.88)/User2 Position(4.65, 0.83, 4.75)/User3 Position(3.96, 1.53, 4.24)/
