Time : 08-08-13-41-40.3 //TaskState : Task1//User1 Position(4.84, 0.00, 3.15)/User2 Position(1.94, 0.00, 3.65)/User3 Position(4.48, 1.66, 3.07)/
Time : 08-08-13-41-40.5 //TaskState : Task1//User1 Position(2.17, 1.34, 1.07)/User2 Position(1.94, 0.00, 3.65)/User3 Position(4.49, 1.64, 3.09)/
Time : 08-08-13-41-40.5 //TaskState : Task1//User1 Position(2.04, 0.68, 1.67)/User2 Position(5.44, 0.24, 4.59)/User3 Position(4.49, 1.62, 3.10)/
Time : 08-08-13-41-40.7 //TaskState : Task1//User1 Position(2.04, 0.68, 1.67)/User2 Position(5.43, 0.24, 4.59)/User3 Position(4.50, 1.62, 3.10)/
Time : 08-08-13-41-40.8 //TaskState : Task1//User1 Position(2.04, 0.68, 1.67)/User2 Position(5.43, 0.24, 4.59)/User3 Position(4.51, 1.62, 3.11)/
Time : 08-08-13-41-41.0 //TaskState : Task1//User1 Position(2.04, 0.68, 1.67)/User2 Position(5.43, 0.24, 4.59)/User3 Position(4.52, 1.62, 3.11)/
Time : 08-08-13-41-41.1 //TaskState : Task1//User1 Position(2.04, 0.69, 1.68)/User2 Position(5.43, 0.24, 4.59)/User3 Position(4.52, 1.63, 3.12)/
Time : 08-08-13-41-41.2 //TaskState : Task1//User1 Position(2.04, 0.69, 1.68)/User2 Position(5.43, 0.24, 4.59)/User3 Position(4.50, 1.64, 3.11)/
Time : 08-08-13-41-41.3 //TaskState : Task1//User1 Position(2.03, 0.70, 1.68)/User2 Position(5.43, 0.24, 4.59)/User3 Position(4.48, 1.65, 3.10)/
Time : 08-08-13-41-41.4 //TaskState : Task1//User1 Position(2.03, 0.70, 1.68)/User2 Position(5.43, 0.24, 4.59)/User3 Position(4.46, 1.65, 3.09)/
Time : 08-08-13-41-41.5 //TaskState : Task1//User1 Position(2.03, 0.70, 1.68)/User2 Position(5.43, 0.24, 4.59)/User3 Position(4.45, 1.65, 3.08)/
Time : 08-08-13-41-41.7 //TaskState : Task1//User1 Position(2.03, 0.70, 1.68)/User2 Position(5.43, 0.24, 4.59)/User3 Position(4.45, 1.65, 3.08)/
Time : 08-08-13-41-41.8 //TaskState : Task1//User1 Position(2.05, 0.69, 1.68)/User2 Position(5.43, 0.24, 4.59)/User3 Position(4.42, 1.65, 3.04)/
Time : 08-08-13-41-41.9 //TaskState : Task1//User1 Position(2.06, 0.69, 1.68)/User2 Position(5.43, 0.24, 4.59)/User3 Position(4.42, 1.64, 3.03)/
Time : 08-08-13-41-42.0 //TaskState : Task1//User1 Position(2.06, 0.70, 1.74)/User2 Position(5.43, 0.24, 4.59)/User3 Position(4.43, 1.64, 3.01)/
Time : 08-08-13-41-42.1 //TaskState : Task1//User1 Position(2.06, 0.68, 1.80)/User2 Position(5.43, 0.24, 4.59)/User3 Position(4.44, 1.64, 3.01)/
Time : 08-08-13-41-42.2 //TaskState : Task1//User1 Position(2.03, 0.63, 1.86)/User2 Position(5.43, 0.24, 4.59)/User3 Position(4.43, 1.65, 3.02)/
Time : 08-08-13-41-42.3 //TaskState : Task1//User1 Position(2.04, 0.71, 1.89)/User2 Position(5.43, 0.24, 4.59)/User3 Position(4.43, 1.65, 3.03)/
Time : 08-08-13-41-42.4 //TaskState : Task1//User1 Position(2.03, 0.78, 1.94)/User2 Position(5.43, 0.24, 4.59)/User3 Position(4.43, 1.66, 3.04)/
Time : 08-08-13-41-42.6 //TaskState : Task1//User1 Position(2.02, 0.84, 1.98)/User2 Position(5.43, 0.24, 4.59)/User3 Position(4.43, 1.66, 3.05)/
Time : 08-08-13-41-42.7 //TaskState : Task1//User1 Position(2.00, 0.91, 2.00)/User2 Position(5.43, 0.24, 4.59)/User3 Position(4.43, 1.67, 3.06)/
Time : 08-08-13-41-42.8 //TaskState : Task1//User1 Position(2.00, 0.97, 2.04)/User2 Position(5.43, 0.24, 4.59)/User3 Position(4.43, 1.67, 3.06)/
Time : 08-08-13-41-42.9 //TaskState : Task1//User1 Position(2.02, 1.01, 2.09)/User2 Position(5.43, 0.24, 4.59)/User3 Position(4.44, 1.68, 3.07)/
Time : 08-08-13-41-43.0 //TaskState : Task1//User1 Position(2.06, 1.05, 2.11)/User2 Position(5.43, 0.24, 4.59)/User3 Position(4.45, 1.68, 3.07)/
Time : 08-08-13-41-43.1 //TaskState : Task1//User1 Position(2.10, 1.05, 2.14)/User2 Position(5.43, 0.24, 4.59)/User3 Position(4.46, 1.68, 3.07)/
Time : 08-08-13-41-43.2 //TaskState : Task1//User1 Position(2.12, 1.03, 2.17)/User2 Position(5.43, 0.24, 4.59)/User3 Position(4.46, 1.68, 3.07)/
Time : 08-08-13-41-43.3 //TaskState : Task1//User1 Position(2.18, 1.02, 2.21)/User2 Position(5.43, 0.24, 4.59)/User3 Position(4.47, 1.68, 3.07)/
Time : 08-08-13-41-43.4 //TaskState : Task1//User1 Position(2.23, 1.03, 2.25)/User2 Position(5.43, 0.24, 4.59)/User3 Position(4.48, 1.68, 3.07)/
Time : 08-08-13-41-43.5 //TaskState : Task1//User1 Position(2.27, 1.05, 2.27)/User2 Position(5.43, 0.24, 4.59)/User3 Position(4.48, 1.68, 3.07)/
Time : 08-08-13-41-43.6 //TaskState : Task1//User1 Position(2.31, 1.06, 2.29)/User2 Position(5.43, 0.24, 4.59)/User3 Position(4.48, 1.67, 3.06)/
Time : 08-08-13-41-43.8 //TaskState : Task1//User1 Position(2.33, 1.06, 2.33)/User2 Position(5.43, 0.24, 4.59)/User3 Position(4.48, 1.67, 3.06)/
Time : 08-08-13-41-43.9 //TaskState : Task1//User1 Position(2.34, 1.06, 2.36)/User2 Position(5.43, 0.24, 4.59)/User3 Position(4.47, 1.67, 3.06)/
Time : 08-08-13-41-44.0 //TaskState : Task1//User1 Position(2.39, 1.05, 2.45)/User2 Position(5.43, 0.24, 4.59)/User3 Position(4.46, 1.67, 3.06)/
Time : 08-08-13-41-44.1 //TaskState : Task1//User1 Position(2.42, 1.04, 2.53)/User2 Position(5.43, 0.24, 4.59)/User3 Position(4.46, 1.67, 3.06)/
Time : 08-08-13-41-44.2 //TaskState : Task1//User1 Position(2.44, 1.03, 2.60)/User2 Position(5.43, 0.24, 4.59)/User3 Position(4.45, 1.67, 3.06)/
Time : 08-08-13-41-44.3 //TaskState : Task1//User1 Position(2.47, 1.05, 2.67)/User2 Position(5.43, 0.24, 4.59)/User3 Position(4.45, 1.67, 3.05)/
Time : 08-08-13-41-44.4 //TaskState : Task1//User1 Position(2.49, 1.07, 2.71)/User2 Position(5.43, 0.24, 4.59)/User3 Position(4.45, 1.67, 3.05)/
Time : 08-08-13-41-44.5 //TaskState : Task1//User1 Position(2.50, 1.07, 2.73)/User2 Position(5.43, 0.24, 4.59)/User3 Position(4.45, 1.67, 3.05)/
Time : 08-08-13-41-44.6 //TaskState : Task1//User1 Position(2.50, 1.07, 2.73)/User2 Position(5.43, 0.24, 4.59)/User3 Position(4.44, 1.67, 3.05)/
Time : 08-08-13-41-44.8 //TaskState : Task1//User1 Position(2.50, 1.07, 2.73)/User2 Position(5.43, 0.24, 4.59)/User3 Position(4.44, 1.67, 3.04)/
Time : 08-08-13-41-44.9 //TaskState : Task1//User1 Position(2.50, 1.07, 2.73)/User2 Position(5.43, 0.24, 4.59)/User3 Position(4.44, 1.67, 3.04)/
Time : 08-08-13-41-45.0 //TaskState : Task1//User1 Position(2.50, 1.07, 2.73)/User2 Position(5.43, 0.24, 4.59)/User3 Position(4.44, 1.67, 3.04)/
Time : 08-08-13-41-45.1 //TaskState : Task1//User1 Position(2.49, 1.06, 2.77)/User2 Position(5.43, 0.24, 4.59)/User3 Position(4.44, 1.67, 3.04)/
Time : 08-08-13-41-45.2 //TaskState : Task1//User1 Position(2.49, 1.07, 2.81)/User2 Position(5.43, 0.24, 4.59)/User3 Position(4.43, 1.67, 3.04)/
Time : 08-08-13-41-45.3 //TaskState : Task1//User1 Position(2.52, 1.10, 2.84)/User2 Position(5.43, 0.24, 4.59)/User3 Position(4.43, 1.66, 3.04)/
Time : 08-08-13-41-45.4 //TaskState : Task1//User1 Position(2.50, 1.09, 2.81)/User2 Position(5.43, 0.24, 4.59)/User3 Position(4.42, 1.65, 3.04)/
Time : 08-08-13-41-45.5 //TaskState : Task1//User1 Position(2.49, 1.08, 2.80)/User2 Position(5.43, 0.24, 4.59)/User3 Position(4.41, 1.64, 3.06)/
Time : 08-08-13-41-45.6 //TaskState : Task1//User1 Position(2.48, 1.06, 2.79)/User2 Position(5.43, 0.24, 4.59)/User3 Position(4.42, 1.64, 3.08)/
Time : 08-08-13-41-45.8 //TaskState : Task1//User1 Position(2.46, 1.06, 2.80)/User2 Position(5.43, 0.24, 4.59)/User3 Position(4.43, 1.64, 3.10)/
Time : 08-08-13-41-45.9 //TaskState : Task1//User1 Position(2.46, 1.06, 2.80)/User2 Position(5.43, 0.24, 4.59)/User3 Position(4.44, 1.63, 3.10)/
Time : 08-08-13-41-46.0 //TaskState : Task1//User1 Position(2.45, 1.00, 2.80)/User2 Position(5.43, 0.24, 4.59)/User3 Position(4.45, 1.63, 3.10)/
Time : 08-08-13-41-46.1 //TaskState : Task1//User1 Position(2.44, 0.98, 2.79)/User2 Position(5.43, 0.24, 4.59)/User3 Position(4.46, 1.63, 3.10)/
Time : 08-08-13-41-46.2 //TaskState : Task1//User1 Position(2.43, 0.97, 2.77)/User2 Position(5.43, 0.24, 4.59)/User3 Position(4.47, 1.63, 3.11)/
Time : 08-08-13-41-46.3 //TaskState : Task1//User1 Position(2.44, 0.97, 2.76)/User2 Position(5.43, 0.24, 4.59)/User3 Position(4.48, 1.63, 3.11)/
Time : 08-08-13-41-46.4 //TaskState : Task1//User1 Position(2.44, 0.97, 2.75)/User2 Position(5.43, 0.24, 4.59)/User3 Position(4.48, 1.63, 3.12)/
Time : 08-08-13-41-46.5 //TaskState : Task1//User1 Position(2.44, 0.97, 2.76)/User2 Position(5.43, 0.24, 4.59)/User3 Position(4.49, 1.64, 3.12)/
Time : 08-08-13-41-46.6 //TaskState : Task1//User1 Position(2.44, 0.97, 2.76)/User2 Position(5.43, 0.24, 4.59)/User3 Position(4.49, 1.65, 3.13)/
Time : 08-08-13-41-46.7 //TaskState : Task1//User1 Position(2.44, 0.97, 2.76)/User2 Position(5.43, 0.24, 4.59)/User3 Position(4.49, 1.67, 3.12)/
Time : 08-08-13-41-46.9 //TaskState : Task1//User1 Position(2.44, 0.97, 2.75)/User2 Position(5.43, 0.24, 4.59)/User3 Position(4.48, 1.68, 3.12)/
Time : 08-08-13-41-47.0 //TaskState : Task1//User1 Position(2.44, 0.97, 2.75)/User2 Position(5.43, 0.24, 4.59)/User3 Position(4.48, 1.69, 3.11)/
Time : 08-08-13-41-47.1 //TaskState : Task1//User1 Position(2.44, 0.97, 2.75)/User2 Position(5.43, 0.24, 4.59)/User3 Position(4.48, 1.69, 3.11)/
Time : 08-08-13-41-47.2 //TaskState : Task1//User1 Position(2.44, 0.98, 2.75)/User2 Position(5.43, 0.24, 4.59)/User3 Position(4.48, 1.69, 3.11)/
Time : 08-08-13-41-47.3 //TaskState : Task1//User1 Position(2.44, 0.97, 2.75)/User2 Position(5.43, 0.24, 4.59)/User3 Position(4.48, 1.69, 3.11)/
Time : 08-08-13-41-47.4 //TaskState : Task1//User1 Position(2.83, 0.97, 2.89)/User2 Position(5.43, 0.24, 4.59)/User3 Position(4.48, 1.69, 3.12)/
Time : 08-08-13-41-47.5 //TaskState : Task1//User1 Position(2.94, 1.02, 2.90)/User2 Position(5.43, 0.24, 4.59)/User3 Position(4.47, 1.69, 3.12)/
Time : 08-08-13-41-47.6 //TaskState : Task1//User1 Position(3.15, 1.16, 3.05)/User2 Position(5.43, 0.24, 4.59)/User3 Position(4.47, 1.69, 3.13)/
Time : 08-08-13-41-47.7 //TaskState : Task1//User1 Position(3.22, 1.25, 3.04)/User2 Position(5.43, 0.24, 4.59)/User3 Position(4.46, 1.68, 3.13)/
Time : 08-08-13-41-47.9 //TaskState : Task1//User1 Position(3.23, 1.27, 3.04)/User2 Position(5.43, 0.24, 4.59)/User3 Position(4.45, 1.68, 3.12)/
Time : 08-08-13-41-48.0 //TaskState : Task1//User1 Position(3.23, 1.25, 3.09)/User2 Position(5.43, 0.24, 4.59)/User3 Position(4.44, 1.67, 3.10)/
Time : 08-08-13-41-48.1 //TaskState : Task1//User1 Position(3.24, 1.22, 3.11)/User2 Position(5.43, 0.24, 4.59)/User3 Position(4.43, 1.67, 3.08)/
Time : 08-08-13-41-48.2 //TaskState : Task1//User1 Position(3.24, 1.21, 3.12)/User2 Position(5.43, 0.24, 4.59)/User3 Position(4.44, 1.67, 3.07)/
Time : 08-08-13-41-48.3 //TaskState : Task1//User1 Position(3.24, 1.20, 3.10)/User2 Position(5.43, 0.24, 4.59)/User3 Position(4.44, 1.66, 3.06)/
Time : 08-08-13-41-48.4 //TaskState : Task1//User1 Position(3.22, 1.17, 3.05)/User2 Position(5.43, 0.24, 4.59)/User3 Position(4.45, 1.66, 3.06)/
Time : 08-08-13-41-48.5 //TaskState : Task1//User1 Position(3.22, 1.17, 3.04)/User2 Position(5.43, 0.24, 4.59)/User3 Position(4.45, 1.65, 3.05)/
Time : 08-08-13-41-48.6 //TaskState : Task1//User1 Position(3.17, 1.13, 3.00)/User2 Position(5.43, 0.24, 4.59)/User3 Position(4.45, 1.64, 3.05)/
Time : 08-08-13-41-48.7 //TaskState : Task1//User1 Position(3.20, 1.17, 3.01)/User2 Position(5.43, 0.24, 4.59)/User3 Position(4.46, 1.64, 3.04)/
Time : 08-08-13-41-48.9 //TaskState : Task1//User1 Position(3.20, 1.17, 3.01)/User2 Position(5.43, 0.24, 4.59)/User3 Position(4.46, 1.63, 3.03)/
Time : 08-08-13-41-49.0 //TaskState : Task1//User1 Position(3.26, 1.20, 3.00)/User2 Position(5.43, 0.24, 4.59)/User3 Position(4.46, 1.62, 3.03)/
Time : 08-08-13-41-49.1 //TaskState : Task1//User1 Position(3.26, 1.20, 3.00)/User2 Position(5.43, 0.24, 4.59)/User3 Position(4.45, 1.62, 3.03)/
Time : 08-08-13-41-49.2 //TaskState : Task1//User1 Position(3.26, 1.20, 3.00)/User2 Position(5.43, 0.24, 4.59)/User3 Position(4.45, 1.62, 3.03)/
Time : 08-08-13-41-49.3 //TaskState : Task1//User1 Position(3.23, 1.19, 3.06)/User2 Position(5.43, 0.24, 4.59)/User3 Position(4.45, 1.62, 3.03)/
Time : 08-08-13-41-49.4 //TaskState : Task1//User1 Position(3.23, 1.19, 3.06)/User2 Position(5.43, 0.24, 4.59)/User3 Position(4.45, 1.62, 3.03)/
Time : 08-08-13-41-49.5 //TaskState : Task1//User1 Position(3.21, 1.22, 3.10)/User2 Position(5.43, 0.24, 4.59)/User3 Position(4.45, 1.62, 3.03)/
Time : 08-08-13-41-49.6 //TaskState : Task1//User1 Position(3.21, 1.23, 3.12)/User2 Position(5.43, 0.24, 4.59)/User3 Position(4.45, 1.62, 3.03)/
Time : 08-08-13-41-49.7 //TaskState : Task1//User1 Position(3.21, 1.23, 3.12)/User2 Position(5.43, 0.24, 4.59)/User3 Position(4.45, 1.62, 3.03)/
Time : 08-08-13-41-49.9 //TaskState : Task1//User1 Position(3.25, 1.22, 3.11)/User2 Position(5.43, 0.24, 4.59)/User3 Position(4.45, 1.62, 3.03)/
Time : 08-08-13-41-50.0 //TaskState : Task1//User1 Position(3.24, 1.24, 3.09)/User2 Position(5.43, 0.24, 4.59)/User3 Position(4.45, 1.62, 3.03)/
Time : 08-08-13-41-50.1 //TaskState : Task1//User1 Position(3.24, 1.24, 3.09)/User2 Position(5.43, 0.24, 4.59)/User3 Position(4.45, 1.62, 3.03)/
Time : 08-08-13-41-50.2 //TaskState : Task1//User1 Position(3.23, 1.24, 3.09)/User2 Position(5.43, 0.24, 4.59)/User3 Position(4.45, 1.63, 3.02)/
Time : 08-08-13-41-50.3 //TaskState : Task1//User1 Position(3.23, 1.23, 3.10)/User2 Position(5.43, 0.24, 4.59)/User3 Position(4.45, 1.63, 3.02)/
Time : 08-08-13-41-50.4 //TaskState : Task1//User1 Position(3.23, 1.22, 3.09)/User2 Position(5.43, 0.24, 4.59)/User3 Position(4.45, 1.63, 3.02)/
