Time : 09-02-18-08-43.9 //TaskState : Task1//User1 Position(4.84, 0.00, 3.15)/User2 Position(1.94, 0.00, 3.65)/User3 Position(3.54, 1.46, 4.01)/
Time : 09-02-18-08-44.1 //TaskState : Task1//User1 Position(2.77, 1.36, 2.50)/User2 Position(1.94, 0.00, 3.65)/User3 Position(3.55, 1.46, 4.01)/
Time : 09-02-18-08-44.4 //TaskState : Task1//User1 Position(3.42, 0.87, 4.10)/User2 Position(4.60, 1.09, 2.05)/User3 Position(3.55, 1.45, 4.01)/
Time : 09-02-18-08-45.0 //TaskState : Task1//User1 Position(3.42, 0.87, 4.10)/User2 Position(4.62, 1.07, 2.05)/User3 Position(3.55, 1.44, 4.00)/
Time : 09-02-18-08-45.1 //TaskState : Task1//User1 Position(3.42, 0.87, 4.10)/User2 Position(4.64, 0.81, 1.72)/User3 Position(3.55, 1.45, 4.00)/
Time : 09-02-18-08-45.2 //TaskState : Task1//User1 Position(3.42, 0.87, 4.10)/User2 Position(4.64, 0.82, 1.72)/User3 Position(3.55, 1.45, 4.00)/
Time : 09-02-18-08-45.3 //TaskState : Task1//User1 Position(3.42, 0.87, 4.10)/User2 Position(4.64, 0.82, 1.72)/User3 Position(3.55, 1.45, 4.00)/
Time : 09-02-18-08-45.4 //TaskState : Task1//User1 Position(3.42, 0.87, 4.10)/User2 Position(4.64, 0.82, 1.72)/User3 Position(3.55, 1.45, 4.00)/
Time : 09-02-18-08-45.5 //TaskState : Task1//User1 Position(3.42, 0.88, 4.10)/User2 Position(4.64, 0.82, 1.72)/User3 Position(3.55, 1.45, 4.00)/
Time : 09-02-18-08-45.6 //TaskState : Task1//User1 Position(3.42, 0.88, 4.10)/User2 Position(4.64, 0.82, 1.72)/User3 Position(3.55, 1.45, 4.01)/
Time : 09-02-18-08-45.7 //TaskState : Task1//User1 Position(3.42, 0.88, 4.10)/User2 Position(4.64, 0.82, 1.72)/User3 Position(3.55, 1.45, 4.01)/
Time : 09-02-18-08-45.8 //TaskState : Task1//User1 Position(3.42, 0.88, 4.10)/User2 Position(4.64, 0.82, 1.72)/User3 Position(3.55, 1.46, 4.01)/
Time : 09-02-18-08-45.9 //TaskState : Task1//User1 Position(3.42, 0.87, 4.10)/User2 Position(4.64, 0.82, 1.72)/User3 Position(3.55, 1.46, 4.01)/
Time : 09-02-18-08-46.0 //TaskState : Task1//User1 Position(3.42, 0.88, 4.10)/User2 Position(4.64, 0.82, 1.72)/User3 Position(3.55, 1.46, 4.01)/
Time : 09-02-18-08-46.1 //TaskState : Task1//User1 Position(3.42, 0.88, 4.10)/User2 Position(4.64, 0.82, 1.72)/User3 Position(3.55, 1.46, 4.01)/
Time : 09-02-18-08-46.2 //TaskState : Task1//User1 Position(3.42, 0.88, 4.10)/User2 Position(4.64, 0.82, 1.72)/User3 Position(3.55, 1.46, 4.01)/
Time : 09-02-18-08-46.3 //TaskState : Task1//User1 Position(3.42, 0.88, 4.10)/User2 Position(4.64, 0.82, 1.72)/User3 Position(3.55, 1.46, 4.01)/
Time : 09-02-18-08-46.5 //TaskState : Task1//User1 Position(3.42, 0.88, 4.10)/User2 Position(4.64, 0.82, 1.72)/User3 Position(3.55, 1.46, 4.01)/
Time : 09-02-18-08-46.6 //TaskState : Task1//User1 Position(3.42, 0.88, 4.10)/User2 Position(4.64, 0.82, 1.72)/User3 Position(3.55, 1.46, 4.01)/
Time : 09-02-18-08-46.7 //TaskState : Task1//User1 Position(3.42, 0.88, 4.10)/User2 Position(4.64, 0.82, 1.72)/User3 Position(3.55, 1.46, 4.01)/
Time : 09-02-18-08-46.8 //TaskState : Task1//User1 Position(3.42, 0.88, 4.10)/User2 Position(4.64, 0.82, 1.72)/User3 Position(3.55, 1.46, 4.01)/
Time : 09-02-18-08-46.9 //TaskState : Task1//User1 Position(3.42, 0.88, 4.10)/User2 Position(4.64, 0.82, 1.72)/User3 Position(3.55, 1.46, 4.01)/
Time : 09-02-18-08-47.0 //TaskState : Task1//User1 Position(3.42, 0.88, 4.10)/User2 Position(4.64, 0.82, 1.72)/User3 Position(3.56, 1.46, 4.01)/
Time : 09-02-18-08-47.1 //TaskState : Task1//User1 Position(3.42, 0.88, 4.10)/User2 Position(4.64, 0.82, 1.72)/User3 Position(3.56, 1.46, 4.01)/
Time : 09-02-18-08-47.2 //TaskState : Task1//User1 Position(3.42, 0.88, 4.10)/User2 Position(4.63, 0.82, 1.72)/User3 Position(3.56, 1.46, 4.01)/
Time : 09-02-18-08-47.4 //TaskState : Task1//User1 Position(3.42, 0.88, 4.10)/User2 Position(4.63, 0.82, 1.72)/User3 Position(3.56, 1.46, 4.01)/
Time : 09-02-18-08-47.5 //TaskState : Task1//User1 Position(3.42, 0.88, 4.10)/User2 Position(4.62, 0.82, 1.71)/User3 Position(3.57, 1.46, 4.02)/
Time : 09-02-18-08-47.6 //TaskState : Task1//User1 Position(3.42, 0.88, 4.10)/User2 Position(4.61, 0.82, 1.71)/User3 Position(3.57, 1.46, 4.02)/
Time : 09-02-18-08-47.7 //TaskState : Task1//User1 Position(3.42, 0.88, 4.10)/User2 Position(4.60, 0.82, 1.70)/User3 Position(3.57, 1.45, 4.02)/
Time : 09-02-18-08-47.8 //TaskState : Task1//User1 Position(3.42, 0.88, 4.10)/User2 Position(4.58, 0.81, 1.69)/User3 Position(3.57, 1.45, 4.03)/
Time : 09-02-18-08-47.9 //TaskState : Task1//User1 Position(3.42, 0.88, 4.10)/User2 Position(4.57, 0.81, 1.69)/User3 Position(3.58, 1.44, 4.04)/
Time : 09-02-18-08-48.0 //TaskState : Task1//User1 Position(3.42, 0.88, 4.10)/User2 Position(4.56, 0.81, 1.69)/User3 Position(3.58, 1.44, 4.06)/
Time : 09-02-18-08-48.1 //TaskState : Task1//User1 Position(3.42, 0.88, 4.10)/User2 Position(4.56, 0.81, 1.68)/User3 Position(3.59, 1.45, 4.07)/
