Time : 08-30-17-24-06.8 //TaskState : Task1//User1 Position(4.84, 0.00, 3.15)/User2 Position(1.94, 0.00, 3.65)/User3 Position(3.81, 1.63, 4.61)/
Time : 08-30-17-24-07.0 //TaskState : Task1//User1 Position(2.63, 1.38, 2.63)/User2 Position(1.94, 0.00, 3.65)/User3 Position(3.80, 1.63, 4.61)/
Time : 08-30-17-24-29.1 //TaskState : Task1//User1 Position(4.84, 0.00, 3.15)/User2 Position(1.94, 0.00, 3.65)/User3 Position(3.79, 1.62, 4.62)/
Time : 08-30-17-24-29.3 //TaskState : Task1//User1 Position(2.63, 1.38, 2.63)/User2 Position(1.94, 0.00, 3.65)/User3 Position(3.77, 1.63, 4.62)/
Time : 08-30-17-24-49.4 //TaskState : Task1//User1 Position(4.84, 0.00, 3.15)/User2 Position(1.94, 0.00, 3.65)/User3 Position(3.79, 1.63, 4.62)/
Time : 08-30-17-24-49.5 //TaskState : Task1//User1 Position(4.84, 0.00, 3.15)/User2 Position(1.94, 0.00, 3.65)/User3 Position(3.79, 1.63, 4.62)/
Time : 08-30-17-24-49.6 //TaskState : Task1//User1 Position(3.48, 0.90, 2.27)/User2 Position(4.18, 1.37, 2.46)/User3 Position(3.79, 1.63, 4.61)/
Time : 08-30-17-24-49.9 //TaskState : Task1//User1 Position(3.48, 0.90, 2.27)/User2 Position(4.89, 0.75, 3.18)/User3 Position(3.79, 1.62, 4.61)/
Time : 08-30-17-24-50.0 //TaskState : Task1//User1 Position(3.48, 0.90, 2.27)/User2 Position(4.90, 0.75, 3.18)/User3 Position(3.79, 1.62, 4.60)/
Time : 08-30-17-24-50.1 //TaskState : Task1//User1 Position(3.48, 0.90, 2.27)/User2 Position(4.90, 0.75, 3.18)/User3 Position(3.79, 1.62, 4.60)/
Time : 08-30-17-24-50.3 //TaskState : Task1//User1 Position(3.48, 0.90, 2.27)/User2 Position(4.90, 0.75, 3.18)/User3 Position(3.79, 1.62, 4.60)/
Time : 08-30-17-24-50.4 //TaskState : Task1//User1 Position(3.47, 0.91, 2.27)/User2 Position(4.90, 0.75, 3.18)/User3 Position(3.82, 1.62, 4.59)/
