Time : 08-28-10-58-04.3 //TaskState : Task1//User1 Position(4.84, 0.00, 3.15)/User2 Position(1.94, 0.00, 3.65)/User3 Position(2.64, 1.60, 1.45)/
Time : 08-28-10-58-04.5 //TaskState : Task1//User1 Position(1.89, 1.35, 1.13)/User2 Position(1.94, 0.00, 3.65)/User3 Position(2.64, 1.60, 1.43)/
Time : 08-28-10-58-04.6 //TaskState : Task1//User1 Position(4.72, 0.92, 3.62)/User2 Position(4.76, 0.81, 4.75)/User3 Position(2.64, 1.60, 1.43)/
Time : 08-28-10-58-04.8 //TaskState : Task1//User1 Position(4.73, 0.93, 3.60)/User2 Position(4.76, 0.81, 4.75)/User3 Position(2.64, 1.60, 1.43)/
Time : 08-28-10-58-05.3 //TaskState : Task1//User1 Position(4.71, 0.91, 3.59)/User2 Position(4.76, 0.81, 4.75)/User3 Position(2.64, 1.60, 1.43)/
Time : 08-28-10-58-05.4 //TaskState : Task1//User1 Position(4.70, 0.93, 3.61)/User2 Position(4.76, 0.81, 4.75)/User3 Position(2.69, 1.61, 1.53)/
Time : 08-28-10-58-05.5 //TaskState : Task1//User1 Position(4.70, 0.93, 3.61)/User2 Position(4.76, 0.81, 4.75)/User3 Position(2.70, 1.61, 1.53)/
Time : 08-28-10-58-05.6 //TaskState : Task1//User1 Position(4.71, 0.91, 3.61)/User2 Position(4.76, 0.81, 4.75)/User3 Position(2.72, 1.61, 1.54)/
Time : 08-28-10-58-05.7 //TaskState : Task1//User1 Position(4.72, 0.90, 3.61)/User2 Position(4.76, 0.81, 4.75)/User3 Position(2.74, 1.61, 1.54)/
Time : 08-28-10-58-05.8 //TaskState : Task1//User1 Position(4.75, 0.89, 3.62)/User2 Position(4.76, 0.81, 4.75)/User3 Position(2.74, 1.61, 1.54)/
Time : 08-28-10-58-06.0 //TaskState : Task1//User1 Position(4.77, 0.88, 3.63)/User2 Position(4.76, 0.81, 4.75)/User3 Position(2.74, 1.61, 1.54)/
Time : 08-28-10-58-06.1 //TaskState : Task1//User1 Position(4.83, 0.88, 3.63)/User2 Position(4.76, 0.81, 4.75)/User3 Position(2.74, 1.61, 1.55)/
Time : 08-28-10-58-06.2 //TaskState : Task1//User1 Position(4.85, 0.87, 3.63)/User2 Position(4.76, 0.81, 4.75)/User3 Position(2.74, 1.61, 1.55)/
Time : 08-28-10-58-06.3 //TaskState : Task1//User1 Position(4.86, 0.87, 3.63)/User2 Position(4.76, 0.81, 4.75)/User3 Position(2.73, 1.61, 1.54)/
