Time : 08-26-19-56-10.7 //TaskState : Task1//User1 Position(4.84, 0.00, 3.15)/User2 Position(1.94, 0.00, 3.65)/User3 Position(4.20, 1.58, 4.16)/
Time : 08-26-19-56-10.9 //TaskState : Task1//User1 Position(2.27, 1.35, 1.15)/User2 Position(1.94, 0.00, 3.65)/User3 Position(4.20, 1.58, 4.16)/
Time : 08-26-19-56-11.2 //TaskState : Task1//User1 Position(4.02, 1.39, 3.71)/User2 Position(3.92, 0.87, 4.30)/User3 Position(4.20, 1.58, 4.16)/
Time : 08-26-19-56-11.7 //TaskState : Task1//User1 Position(4.02, 1.39, 3.72)/User2 Position(3.93, 0.85, 4.32)/User3 Position(4.20, 1.58, 4.16)/
Time : 08-26-19-56-11.8 //TaskState : Task1//User1 Position(4.05, 1.40, 3.73)/User2 Position(3.75, 1.17, 3.95)/User3 Position(4.19, 1.58, 4.16)/
Time : 08-26-19-56-11.9 //TaskState : Task1//User1 Position(4.05, 1.39, 3.74)/User2 Position(3.75, 1.16, 3.96)/User3 Position(4.19, 1.58, 4.16)/
Time : 08-26-19-56-12.0 //TaskState : Task1//User1 Position(4.05, 1.39, 3.74)/User2 Position(3.75, 1.15, 3.96)/User3 Position(4.20, 1.58, 4.16)/
Time : 08-26-19-56-12.1 //TaskState : Task1//User1 Position(4.05, 1.38, 3.74)/User2 Position(3.74, 1.14, 3.96)/User3 Position(4.20, 1.58, 4.16)/
Time : 08-26-19-56-12.2 //TaskState : Task1//User1 Position(4.05, 1.38, 3.74)/User2 Position(3.74, 1.14, 3.96)/User3 Position(4.20, 1.58, 4.16)/
Time : 08-26-19-56-12.3 //TaskState : Task1//User1 Position(4.06, 1.37, 3.74)/User2 Position(3.74, 1.14, 3.96)/User3 Position(4.20, 1.58, 4.16)/
Time : 08-26-19-56-12.4 //TaskState : Task1//User1 Position(4.06, 1.37, 3.74)/User2 Position(3.75, 1.14, 3.96)/User3 Position(4.20, 1.58, 4.16)/
Time : 08-26-19-56-12.5 //TaskState : Task1//User1 Position(4.06, 1.37, 3.74)/User2 Position(3.74, 1.14, 3.97)/User3 Position(4.20, 1.58, 4.16)/
Time : 08-26-19-56-12.6 //TaskState : Task1//User1 Position(4.06, 1.37, 3.73)/User2 Position(3.73, 1.14, 3.97)/User3 Position(4.20, 1.58, 4.16)/
Time : 08-26-19-56-12.7 //TaskState : Task1//User1 Position(4.06, 1.38, 3.72)/User2 Position(3.73, 1.13, 3.98)/User3 Position(4.20, 1.58, 4.16)/
Time : 08-26-19-56-12.8 //TaskState : Task1//User1 Position(4.07, 1.40, 3.72)/User2 Position(3.73, 1.13, 3.98)/User3 Position(4.20, 1.58, 4.16)/
Time : 08-26-19-56-12.9 //TaskState : Task1//User1 Position(4.08, 1.42, 3.72)/User2 Position(3.73, 1.13, 3.98)/User3 Position(4.20, 1.58, 4.16)/
Time : 08-26-19-56-13.1 //TaskState : Task1//User1 Position(4.10, 1.43, 3.71)/User2 Position(3.73, 1.13, 3.98)/User3 Position(4.20, 1.58, 4.16)/
Time : 08-26-19-56-13.2 //TaskState : Task1//User1 Position(4.11, 1.44, 3.71)/User2 Position(3.73, 1.13, 3.98)/User3 Position(4.19, 1.58, 4.16)/
Time : 08-26-19-56-13.3 //TaskState : Task1//User1 Position(4.10, 1.45, 3.71)/User2 Position(3.73, 1.15, 4.00)/User3 Position(4.19, 1.58, 4.16)/
Time : 08-26-19-56-13.4 //TaskState : Task1//User1 Position(4.11, 1.44, 3.71)/User2 Position(3.71, 1.15, 4.02)/User3 Position(4.19, 1.58, 4.16)/
Time : 08-26-19-56-13.5 //TaskState : Task1//User1 Position(4.10, 1.43, 3.72)/User2 Position(3.70, 1.15, 4.02)/User3 Position(4.19, 1.58, 4.16)/
Time : 08-26-19-56-13.6 //TaskState : Task1//User1 Position(4.08, 1.41, 3.73)/User2 Position(3.71, 1.14, 4.02)/User3 Position(4.19, 1.58, 4.16)/
Time : 08-26-19-56-13.7 //TaskState : Task1//User1 Position(4.07, 1.42, 3.73)/User2 Position(3.71, 1.14, 4.02)/User3 Position(4.19, 1.58, 4.16)/
Time : 08-26-19-56-13.8 //TaskState : Task1//User1 Position(4.06, 1.41, 3.74)/User2 Position(3.71, 1.14, 4.02)/User3 Position(4.19, 1.58, 4.17)/
Time : 08-26-19-56-14.0 //TaskState : Task1//User1 Position(4.06, 1.40, 3.76)/User2 Position(3.71, 1.14, 4.02)/User3 Position(4.19, 1.58, 4.17)/
