Time : 08-28-15-38-13.0 //TaskState : Task1//User1 Position(4.84, 0.00, 3.15)/User2 Position(1.94, 0.00, 3.65)/User3 Position(0.73, 0.10, 1.78)/
Time : 08-28-15-38-13.1 //TaskState : Task1//User1 Position(2.68, 1.39, 1.07)/User2 Position(1.94, 0.00, 3.65)/User3 Position(0.73, 0.10, 1.78)/
Time : 08-28-15-38-13.3 //TaskState : Task1//User1 Position(3.98, 1.26, 3.56)/User2 Position(5.68, 1.37, 5.48)/User3 Position(0.73, 0.10, 1.78)/
Time : 08-28-15-38-13.7 //TaskState : Task1//User1 Position(3.98, 1.26, 3.57)/User2 Position(4.05, 0.83, 2.59)/User3 Position(0.73, 0.10, 1.78)/
Time : 08-28-15-38-13.8 //TaskState : Task1//User1 Position(3.98, 1.26, 3.57)/User2 Position(4.05, 0.83, 2.59)/User3 Position(0.73, 0.10, 1.78)/
Time : 08-28-15-38-13.9 //TaskState : Task1//User1 Position(3.98, 1.25, 3.57)/User2 Position(4.05, 0.83, 2.59)/User3 Position(0.73, 0.10, 1.78)/
Time : 08-28-15-38-14.1 //TaskState : Task1//User1 Position(3.98, 1.25, 3.57)/User2 Position(4.05, 0.83, 2.59)/User3 Position(0.73, 0.10, 1.78)/
Time : 08-28-15-38-14.2 //TaskState : Task1//User1 Position(3.99, 1.25, 3.57)/User2 Position(4.05, 0.83, 2.59)/User3 Position(0.73, 0.10, 1.78)/
Time : 08-28-15-38-14.3 //TaskState : Task1//User1 Position(3.99, 1.25, 3.57)/User2 Position(4.05, 0.83, 2.59)/User3 Position(0.73, 0.10, 1.78)/
Time : 08-28-15-38-14.4 //TaskState : Task1//User1 Position(3.98, 1.25, 3.57)/User2 Position(4.05, 0.83, 2.59)/User3 Position(0.73, 0.10, 1.78)/
Time : 08-28-15-38-14.5 //TaskState : Task1//User1 Position(3.98, 1.25, 3.58)/User2 Position(4.05, 0.83, 2.59)/User3 Position(0.73, 0.10, 1.78)/
Time : 08-28-15-38-14.6 //TaskState : Task1//User1 Position(3.98, 1.26, 3.58)/User2 Position(4.05, 0.83, 2.59)/User3 Position(0.73, 0.10, 1.78)/
Time : 08-28-15-38-14.7 //TaskState : Task1//User1 Position(3.98, 1.26, 3.58)/User2 Position(4.05, 0.83, 2.59)/User3 Position(0.73, 0.10, 1.78)/
Time : 08-28-15-38-14.8 //TaskState : Task1//User1 Position(3.98, 1.25, 3.57)/User2 Position(4.05, 0.83, 2.59)/User3 Position(0.73, 0.10, 1.78)/
Time : 08-28-15-38-14.9 //TaskState : Task1//User1 Position(3.98, 1.25, 3.57)/User2 Position(4.05, 0.83, 2.59)/User3 Position(0.73, 0.10, 1.78)/
Time : 08-28-15-38-15.0 //TaskState : Task1//User1 Position(3.97, 1.25, 3.57)/User2 Position(4.05, 0.83, 2.59)/User3 Position(0.73, 0.10, 1.78)/
Time : 08-28-15-38-15.1 //TaskState : Task1//User1 Position(3.98, 1.25, 3.57)/User2 Position(4.01, 0.88, 2.78)/User3 Position(0.73, 0.10, 1.78)/
Time : 08-28-15-38-15.2 //TaskState : Task1//User1 Position(3.98, 1.26, 3.58)/User2 Position(4.04, 0.85, 2.70)/User3 Position(0.73, 0.10, 1.78)/
Time : 08-28-15-38-15.3 //TaskState : Task1//User1 Position(3.98, 1.26, 3.58)/User2 Position(4.00, 0.90, 2.81)/User3 Position(0.73, 0.10, 1.78)/
Time : 08-28-15-38-15.4 //TaskState : Task1//User1 Position(3.98, 1.25, 3.57)/User2 Position(4.00, 0.91, 2.81)/User3 Position(0.73, 0.10, 1.78)/
