Time : 08-28-15-34-37.6 //TaskState : Task1//User1 Position(4.84, 0.00, 3.15)/User2 Position(1.94, 0.00, 3.65)/User3 Position(3.97, 1.67, 4.05)/
Time : 08-28-15-34-37.8 //TaskState : Task1//User1 Position(2.68, 1.36, 1.06)/User2 Position(1.94, 0.00, 3.65)/User3 Position(3.97, 1.67, 4.06)/
Time : 08-28-15-34-38.1 //TaskState : Task1//User1 Position(3.67, 0.86, 3.85)/User2 Position(4.95, 0.81, 3.00)/User3 Position(3.97, 1.67, 4.06)/
Time : 08-28-15-34-38.2 //TaskState : Task1//User1 Position(3.67, 0.86, 3.85)/User2 Position(4.96, 0.81, 3.01)/User3 Position(3.94, 1.65, 4.07)/
Time : 08-28-15-34-38.6 //TaskState : Task1//User1 Position(3.67, 0.86, 3.85)/User2 Position(4.96, 0.81, 3.01)/User3 Position(3.95, 1.65, 4.07)/
Time : 08-28-15-34-38.7 //TaskState : Task1//User1 Position(3.67, 0.86, 3.85)/User2 Position(4.96, 0.81, 3.01)/User3 Position(3.93, 1.65, 4.09)/
Time : 08-28-15-34-38.8 //TaskState : Task1//User1 Position(3.67, 0.86, 3.85)/User2 Position(4.96, 0.81, 3.01)/User3 Position(3.93, 1.64, 4.09)/
Time : 08-28-15-34-38.9 //TaskState : Task1//User1 Position(3.67, 0.86, 3.85)/User2 Position(4.96, 0.81, 3.01)/User3 Position(3.92, 1.64, 4.09)/
Time : 08-28-15-34-39.0 //TaskState : Task1//User1 Position(3.67, 0.86, 3.85)/User2 Position(4.96, 0.81, 3.01)/User3 Position(3.92, 1.64, 4.10)/
Time : 08-28-15-34-39.1 //TaskState : Task1//User1 Position(3.68, 0.86, 3.84)/User2 Position(4.91, 0.81, 3.13)/User3 Position(3.92, 1.63, 4.10)/
Time : 08-28-15-34-39.2 //TaskState : Task1//User1 Position(3.71, 0.84, 3.82)/User2 Position(4.99, 0.79, 3.24)/User3 Position(3.92, 1.63, 4.09)/
Time : 08-28-15-34-39.3 //TaskState : Task1//User1 Position(3.77, 0.84, 3.79)/User2 Position(5.01, 0.78, 3.33)/User3 Position(3.93, 1.63, 4.08)/
Time : 08-28-15-34-39.5 //TaskState : Task1//User1 Position(3.81, 0.83, 3.73)/User2 Position(5.00, 0.77, 3.39)/User3 Position(3.94, 1.63, 4.07)/
Time : 08-28-15-34-39.6 //TaskState : Task1//User1 Position(3.85, 0.83, 3.68)/User2 Position(4.99, 0.77, 3.42)/User3 Position(3.95, 1.63, 4.06)/
Time : 08-28-15-34-39.7 //TaskState : Task1//User1 Position(3.86, 0.83, 3.64)/User2 Position(4.98, 0.77, 3.44)/User3 Position(3.98, 1.63, 4.05)/
Time : 08-28-15-34-39.8 //TaskState : Task1//User1 Position(3.86, 0.84, 3.61)/User2 Position(5.02, 0.76, 3.41)/User3 Position(4.01, 1.63, 4.05)/
Time : 08-28-15-34-39.9 //TaskState : Task1//User1 Position(3.86, 0.84, 3.60)/User2 Position(5.02, 0.76, 3.40)/User3 Position(4.03, 1.63, 4.06)/
Time : 08-28-15-34-40.0 //TaskState : Task1//User1 Position(3.86, 0.84, 3.58)/User2 Position(5.02, 0.76, 3.39)/User3 Position(4.04, 1.63, 4.07)/
Time : 08-28-15-34-40.1 //TaskState : Task1//User1 Position(3.86, 0.84, 3.57)/User2 Position(5.02, 0.76, 3.39)/User3 Position(4.04, 1.63, 4.08)/
Time : 08-28-15-34-40.2 //TaskState : Task1//User1 Position(3.86, 0.84, 3.57)/User2 Position(5.03, 0.76, 3.39)/User3 Position(4.04, 1.63, 4.10)/
Time : 08-28-15-34-40.4 //TaskState : Task1//User1 Position(3.86, 0.84, 3.57)/User2 Position(5.03, 0.76, 3.39)/User3 Position(4.04, 1.63, 4.11)/
Time : 08-28-15-34-40.5 //TaskState : Task1//User1 Position(3.86, 0.84, 3.57)/User2 Position(5.03, 0.76, 3.39)/User3 Position(4.04, 1.63, 4.12)/
Time : 08-28-15-34-40.6 //TaskState : Task1//User1 Position(3.86, 0.84, 3.56)/User2 Position(5.03, 0.76, 3.39)/User3 Position(4.04, 1.62, 4.13)/
Time : 08-28-15-34-40.7 //TaskState : Task1//User1 Position(3.86, 0.84, 3.57)/User2 Position(5.03, 0.76, 3.38)/User3 Position(4.04, 1.62, 4.14)/
Time : 08-28-15-34-40.8 //TaskState : Task1//User1 Position(3.86, 0.84, 3.57)/User2 Position(5.03, 0.76, 3.38)/User3 Position(4.04, 1.62, 4.14)/
Time : 08-28-15-34-40.9 //TaskState : Task1//User1 Position(3.86, 0.84, 3.57)/User2 Position(5.03, 0.76, 3.38)/User3 Position(4.04, 1.62, 4.13)/
Time : 08-28-15-34-41.0 //TaskState : Task1//User1 Position(3.86, 0.84, 3.57)/User2 Position(5.03, 0.76, 3.38)/User3 Position(4.04, 1.61, 4.12)/
Time : 08-28-15-34-41.1 //TaskState : Task1//User1 Position(3.86, 0.84, 3.57)/User2 Position(5.03, 0.76, 3.38)/User3 Position(4.04, 1.61, 4.11)/
Time : 08-28-15-34-41.2 //TaskState : Task1//User1 Position(3.86, 0.84, 3.57)/User2 Position(5.03, 0.76, 3.38)/User3 Position(4.04, 1.61, 4.10)/
Time : 08-28-15-34-41.4 //TaskState : Task1//User1 Position(3.86, 0.84, 3.57)/User2 Position(5.03, 0.76, 3.38)/User3 Position(4.04, 1.61, 4.09)/
Time : 08-28-15-34-41.5 //TaskState : Task1//User1 Position(3.86, 0.84, 3.57)/User2 Position(5.03, 0.76, 3.38)/User3 Position(4.04, 1.61, 4.08)/
Time : 08-28-15-34-41.6 //TaskState : Task1//User1 Position(3.86, 0.84, 3.56)/User2 Position(5.03, 0.76, 3.38)/User3 Position(4.04, 1.62, 4.07)/
Time : 08-28-15-34-41.7 //TaskState : Task1//User1 Position(3.86, 0.84, 3.56)/User2 Position(5.03, 0.76, 3.38)/User3 Position(4.04, 1.62, 4.07)/
Time : 08-28-15-34-41.8 //TaskState : Task1//User1 Position(3.86, 0.84, 3.56)/User2 Position(5.03, 0.76, 3.38)/User3 Position(4.03, 1.63, 4.06)/
Time : 08-28-15-34-41.9 //TaskState : Task1//User1 Position(3.86, 0.84, 3.56)/User2 Position(5.03, 0.77, 3.39)/User3 Position(4.02, 1.64, 4.07)/
Time : 08-28-15-34-42.0 //TaskState : Task1//User1 Position(3.86, 0.84, 3.56)/User2 Position(5.03, 0.77, 3.38)/User3 Position(4.01, 1.64, 4.07)/
Time : 08-28-15-34-42.1 //TaskState : Task1//User1 Position(3.86, 0.84, 3.56)/User2 Position(5.03, 0.77, 3.38)/User3 Position(3.99, 1.64, 4.07)/
Time : 08-28-15-34-42.2 //TaskState : Task1//User1 Position(3.86, 0.84, 3.56)/User2 Position(5.03, 0.77, 3.39)/User3 Position(3.97, 1.64, 4.08)/
Time : 08-28-15-34-42.4 //TaskState : Task1//User1 Position(3.86, 0.84, 3.56)/User2 Position(5.03, 0.77, 3.39)/User3 Position(3.96, 1.65, 4.10)/
Time : 08-28-15-34-42.5 //TaskState : Task1//User1 Position(3.86, 0.84, 3.56)/User2 Position(5.03, 0.77, 3.39)/User3 Position(3.95, 1.65, 4.11)/
Time : 08-28-15-34-42.6 //TaskState : Task1//User1 Position(3.86, 0.84, 3.56)/User2 Position(5.03, 0.77, 3.38)/User3 Position(3.94, 1.64, 4.12)/
Time : 08-28-15-34-42.7 //TaskState : Task1//User1 Position(3.86, 0.84, 3.56)/User2 Position(5.03, 0.77, 3.38)/User3 Position(3.93, 1.63, 4.13)/
Time : 08-28-15-34-42.8 //TaskState : Task1//User1 Position(3.86, 0.84, 3.56)/User2 Position(5.03, 0.77, 3.38)/User3 Position(3.94, 1.62, 4.12)/
Time : 08-28-15-34-42.9 //TaskState : Task1//User1 Position(3.86, 0.84, 3.56)/User2 Position(5.03, 0.77, 3.38)/User3 Position(3.94, 1.61, 4.12)/
Time : 08-28-15-34-43.0 //TaskState : Task1//User1 Position(3.86, 0.85, 3.56)/User2 Position(5.03, 0.77, 3.38)/User3 Position(3.95, 1.60, 4.11)/
Time : 08-28-15-34-43.1 //TaskState : Task1//User1 Position(3.86, 0.85, 3.56)/User2 Position(5.03, 0.77, 3.38)/User3 Position(3.96, 1.59, 4.10)/
Time : 08-28-15-34-43.2 //TaskState : Task1//User1 Position(3.86, 0.84, 3.56)/User2 Position(5.03, 0.77, 3.38)/User3 Position(3.98, 1.59, 4.09)/
Time : 08-28-15-34-43.4 //TaskState : Task1//User1 Position(3.86, 0.84, 3.57)/User2 Position(5.03, 0.77, 3.38)/User3 Position(4.00, 1.59, 4.09)/
Time : 08-28-15-34-43.5 //TaskState : Task1//User1 Position(3.86, 0.84, 3.57)/User2 Position(5.03, 0.77, 3.38)/User3 Position(4.02, 1.59, 4.08)/
Time : 08-28-15-34-43.6 //TaskState : Task1//User1 Position(3.86, 0.84, 3.56)/User2 Position(5.03, 0.77, 3.38)/User3 Position(4.03, 1.58, 4.09)/
Time : 08-28-15-34-43.7 //TaskState : Task1//User1 Position(3.86, 0.84, 3.57)/User2 Position(5.03, 0.77, 3.38)/User3 Position(4.05, 1.59, 4.09)/
Time : 08-28-15-34-43.8 //TaskState : Task1//User1 Position(3.86, 0.84, 3.56)/User2 Position(5.03, 0.77, 3.38)/User3 Position(4.06, 1.59, 4.10)/
Time : 08-28-15-34-43.9 //TaskState : Task1//User1 Position(3.86, 0.84, 3.56)/User2 Position(5.03, 0.77, 3.38)/User3 Position(4.07, 1.59, 4.11)/
Time : 08-28-15-34-44.0 //TaskState : Task1//User1 Position(3.86, 0.84, 3.56)/User2 Position(5.03, 0.77, 3.38)/User3 Position(4.08, 1.60, 4.12)/
Time : 08-28-15-34-44.1 //TaskState : Task1//User1 Position(3.86, 0.84, 3.56)/User2 Position(5.03, 0.77, 3.38)/User3 Position(4.09, 1.60, 4.13)/
Time : 08-28-15-34-44.2 //TaskState : Task1//User1 Position(3.86, 0.84, 3.56)/User2 Position(5.03, 0.77, 3.38)/User3 Position(4.10, 1.61, 4.13)/
Time : 08-28-15-34-44.4 //TaskState : Task1//User1 Position(3.86, 0.84, 3.56)/User2 Position(5.03, 0.77, 3.38)/User3 Position(4.10, 1.61, 4.14)/
Time : 08-28-15-34-44.5 //TaskState : Task1//User1 Position(3.86, 0.84, 3.56)/User2 Position(5.03, 0.77, 3.38)/User3 Position(4.11, 1.61, 4.14)/
Time : 08-28-15-34-44.6 //TaskState : Task1//User1 Position(3.86, 0.84, 3.56)/User2 Position(5.03, 0.77, 3.38)/User3 Position(4.11, 1.61, 4.14)/
