Time : 08-28-15-37-54.1 //TaskState : Task1//User1 Position(4.84, 0.00, 3.15)/User2 Position(1.94, 0.00, 3.65)/User3 Position(0.73, 0.10, 1.78)/
Time : 08-28-15-37-54.3 //TaskState : Task1//User1 Position(2.68, 1.39, 1.07)/User2 Position(1.94, 0.00, 3.65)/User3 Position(0.73, 0.10, 1.78)/
Time : 08-28-15-37-54.6 //TaskState : Task1//User1 Position(4.07, 1.22, 3.52)/User2 Position(4.11, 1.21, 3.12)/User3 Position(0.73, 0.10, 1.78)/
Time : 08-28-15-37-55.1 //TaskState : Task1//User1 Position(4.08, 1.22, 3.53)/User2 Position(4.11, 1.17, 3.13)/User3 Position(0.73, 0.10, 1.78)/
Time : 08-28-15-37-55.2 //TaskState : Task1//User1 Position(4.09, 1.23, 3.53)/User2 Position(4.09, 1.18, 3.14)/User3 Position(0.73, 0.10, 1.78)/
Time : 08-28-15-37-55.3 //TaskState : Task1//User1 Position(4.11, 1.24, 3.54)/User2 Position(4.10, 1.18, 3.14)/User3 Position(0.73, 0.10, 1.78)/
Time : 08-28-15-37-55.4 //TaskState : Task1//User1 Position(4.10, 1.24, 3.54)/User2 Position(4.10, 1.17, 3.14)/User3 Position(0.73, 0.10, 1.78)/
Time : 08-28-15-37-55.5 //TaskState : Task1//User1 Position(4.09, 1.24, 3.54)/User2 Position(4.10, 1.17, 3.14)/User3 Position(0.73, 0.10, 1.78)/
Time : 08-28-15-37-55.6 //TaskState : Task1//User1 Position(4.10, 1.24, 3.55)/User2 Position(4.10, 1.17, 3.14)/User3 Position(0.73, 0.10, 1.78)/
Time : 08-28-15-37-55.7 //TaskState : Task1//User1 Position(4.10, 1.24, 3.55)/User2 Position(4.10, 1.17, 3.14)/User3 Position(0.73, 0.10, 1.78)/
Time : 08-28-15-37-55.8 //TaskState : Task1//User1 Position(4.11, 1.24, 3.55)/User2 Position(4.10, 1.16, 3.15)/User3 Position(0.73, 0.10, 1.78)/
Time : 08-28-15-37-55.9 //TaskState : Task1//User1 Position(4.11, 1.24, 3.55)/User2 Position(4.08, 1.16, 3.15)/User3 Position(0.73, 0.10, 1.78)/
Time : 08-28-15-37-56.0 //TaskState : Task1//User1 Position(4.11, 1.24, 3.55)/User2 Position(4.08, 1.16, 3.16)/User3 Position(0.73, 0.10, 1.78)/
Time : 08-28-15-37-56.1 //TaskState : Task1//User1 Position(4.10, 1.24, 3.55)/User2 Position(4.08, 1.16, 3.16)/User3 Position(0.73, 0.10, 1.78)/
Time : 08-28-15-37-56.2 //TaskState : Task1//User1 Position(4.09, 1.24, 3.54)/User2 Position(4.08, 1.16, 3.16)/User3 Position(0.73, 0.10, 1.78)/
Time : 08-28-15-37-56.3 //TaskState : Task1//User1 Position(4.08, 1.24, 3.54)/User2 Position(4.09, 1.16, 3.16)/User3 Position(0.73, 0.10, 1.78)/
Time : 08-28-15-37-56.4 //TaskState : Task1//User1 Position(4.08, 1.24, 3.53)/User2 Position(4.09, 1.15, 3.16)/User3 Position(0.73, 0.10, 1.78)/
Time : 08-28-15-37-56.6 //TaskState : Task1//User1 Position(4.08, 1.25, 3.54)/User2 Position(4.09, 1.09, 3.15)/User3 Position(0.73, 0.10, 1.78)/
Time : 08-28-15-37-56.7 //TaskState : Task1//User1 Position(4.08, 1.25, 3.55)/User2 Position(4.09, 0.98, 3.11)/User3 Position(0.73, 0.10, 1.78)/
Time : 08-28-15-37-56.8 //TaskState : Task1//User1 Position(4.06, 1.23, 3.54)/User2 Position(4.05, 0.85, 3.04)/User3 Position(0.73, 0.10, 1.78)/
Time : 08-28-15-37-56.9 //TaskState : Task1//User1 Position(4.05, 1.23, 3.54)/User2 Position(3.95, 0.77, 2.98)/User3 Position(0.73, 0.10, 1.78)/
Time : 08-28-15-37-57.0 //TaskState : Task1//User1 Position(4.05, 1.24, 3.53)/User2 Position(3.89, 0.76, 2.95)/User3 Position(0.73, 0.10, 1.78)/
Time : 08-28-15-37-57.1 //TaskState : Task1//User1 Position(4.05, 1.23, 3.54)/User2 Position(3.87, 0.81, 2.94)/User3 Position(0.73, 0.10, 1.78)/
Time : 08-28-15-37-57.2 //TaskState : Task1//User1 Position(4.06, 1.23, 3.54)/User2 Position(3.87, 0.81, 2.94)/User3 Position(0.73, 0.10, 1.78)/
Time : 08-28-15-37-57.3 //TaskState : Task1//User1 Position(4.06, 1.23, 3.54)/User2 Position(3.87, 0.81, 2.94)/User3 Position(0.73, 0.10, 1.78)/
